0,source,sink,summation_neighbours
125,482013,3579983,289
126,1943454,3689782,1858
127,4413981,4833817,138
128,4014047,1136778,1058
129,1561394,1927555,146
130,3586613,1228736,1984
131,1984044,4476596,1860
132,697564,50158,1649
133,4700329,3283432,1357
134,3362628,20388,762759
135,3559634,1209622,173
136,4612494,3281822,457
137,331274,2249595,644
138,3290884,3881983,590
139,2977223,4109291,31402
140,2591437,1789565,390
141,702335,4751012,1706
142,1859993,3188099,34
143,1443414,1154944,406
144,4067295,2795881,816
145,2427217,74682,392
146,1120411,4477188,12
147,1954009,1779762,39
148,2424197,458887,158
149,3225341,2010664,172
150,4414997,2582486,1186
151,3313467,3478637,1259
152,640373,4795705,769
153,547021,366864,606
154,3739969,4310029,883
155,1057680,4168027,239
156,2181364,4586866,31890
157,3511222,1004233,1126
158,2985668,3025121,631
159,4114236,3761153,80
160,1273418,2159250,8888
161,654563,4087577,70
162,4146884,3352404,217
163,3976159,3009133,3932
164,323965,193093,40
165,4311722,1753978,1336
166,1818698,3704407,121
167,2162620,4423930,290
168,653234,1723138,40
169,871688,113821,126
170,3519166,730998,465
171,696010,3600865,193
172,3849752,754077,644
173,352555,4394409,290
174,4745442,3063778,811
175,1300583,2871701,244
176,3220267,2383579,157
177,4315961,2678379,151
178,1459605,1989693,1053
179,953777,2505146,987
180,3979764,1776383,71
181,758145,2560532,95
182,4529968,3172548,1699
183,813834,2306581,25
184,268979,15583,173
185,3360177,190135,168
186,2878277,2857848,671
187,1792282,2791079,290
188,3819528,4613147,3036
189,2609436,4831688,767
190,3000657,1364265,2122
191,4846160,1111515,208
192,1784444,895856,162
193,2814406,1916798,49
194,2112791,3534144,227
195,3218124,2859615,420
196,1827920,3076046,1406
197,2557232,1747172,13013
198,4522523,4386169,67
199,4673872,960120,13615
200,2135471,2849755,294
201,1062590,1247007,3087
202,4556922,2420235,2351
203,1240857,909674,69
204,3989827,3166659,206
205,220956,2862017,1280
206,41996,3465628,2030
207,201146,3926875,158
208,3035063,1565469,1749
209,1160949,1565469,1770
210,3183860,4109816,1060
211,4621317,3713991,63
212,638873,1844409,1994
213,1876529,1351949,363
214,4566997,4514481,132
215,3115786,4347727,581
216,3503651,2409176,787
217,3648705,3367608,117
218,1537715,1341124,321
219,831453,122016,77
220,1429183,3247415,101
221,4579537,3799178,519
222,169650,1856116,77
223,960790,3067078,1415
224,3102958,2702637,429
225,4843952,3889805,306
226,907892,2320538,172
227,3332350,2863811,2246
228,4862682,3375317,395
229,4732222,3013417,4383
230,4742300,4400515,1378
231,1200055,970441,590
232,2411192,575372,279
233,846393,3611163,339
234,3228963,3740055,128
235,1651539,559732,1665
236,2098473,14202,1008
237,598650,1204624,106
238,4093979,4863182,1309
239,483091,4337184,451
240,2077025,799040,51
241,699366,2497380,226
242,402005,1558394,435
243,1635607,4058041,596
244,4789443,124654,234
245,2597890,3167298,351
246,2390420,4116301,2067
247,2602854,3609187,416
248,4709481,4283234,99
249,1327905,3553485,119530
250,1295223,614768,1100
251,3044382,104806,58
252,3320731,1853137,212
253,3265042,2821412,33
254,3072308,269841,2185
255,1174,683529,580
256,649203,1467047,512
257,4764268,1114409,325
258,4357352,3501099,2098
259,1942858,4502795,169
260,2502918,2689599,61
261,4700248,4278467,1737
262,4564989,4451008,1466
263,2001062,1196225,1181
264,3280393,1165110,40
265,1727502,34992,139
266,4550525,4776193,271
267,43264,2332893,3219
268,1737080,3616458,541
269,122041,142496,539
270,2646333,1672636,140
271,1742701,2970071,249
272,3293255,833637,218
273,1780606,2262636,28
274,1345570,2824526,294
275,2887828,1690852,4815
276,38947,3108211,330
277,1013242,4077123,679
278,839043,2692611,342
279,371635,156875,160
280,3011952,4720585,1551
281,3638601,2129705,428
282,3708904,2079990,384
283,241387,1059358,1457
284,40248,1127656,162
285,987263,2478602,9585
286,1879363,4654996,497
287,2950460,1294552,504
288,2695168,3951022,352
289,3961269,728145,199
290,3028026,4119951,363
291,1616100,902731,6046
292,3212185,37950,48
293,615572,2930986,87555
294,2824613,4085345,96
295,3014991,821405,113
296,2080615,2393,370
297,3675243,622762,529
298,947762,2764726,29
299,596458,360372,81
300,785634,4458764,303
301,3701577,463578,272
302,1567929,1000,2149
303,1912792,3080932,786
304,4231030,1132916,83
305,3026988,2133291,205
306,2837576,2427238,257
307,2985401,3587358,507
308,838983,799253,62870
309,4525307,3762216,306
310,3651080,1922246,188
311,667134,1781711,209
312,2676205,3132930,186
313,4225721,2019650,1759
314,540450,4629997,881
315,2483244,3602926,4239
316,1735998,4810297,267
317,4306167,603449,61
318,375480,2152962,1871
319,3180301,1013242,694
320,935185,2126374,318
321,363438,848620,14611
322,116337,1529538,524
323,902881,1494526,662
324,3041683,2404217,97
325,3497766,800910,195
326,4472132,593309,1400
327,2634508,4247346,202
328,1389619,2878362,46
329,4340194,2322663,772
330,2602154,1025339,2300
331,1403344,937234,600
332,1886723,3571324,3384
333,2843784,585327,328
334,1440901,3514834,2161
335,2151302,4808211,563
336,2610700,736798,886
337,3589489,65638,719
338,3716377,1305585,48
339,3097604,1624964,44120
340,274784,3668306,418
341,2603652,686964,29
342,1294974,1085701,534
343,2037264,3701516,6741
344,2795225,4791127,93
345,3122389,475690,78
346,1910873,3734722,70
347,161389,471991,120
348,228846,2147948,217
349,1095970,4364508,84
350,1129376,4673214,407
351,3083253,3252172,1065
352,3795380,84920,2023
353,4472132,778318,754
354,4027528,2512220,270
355,4509912,3363781,13
356,3606552,3485884,192
357,2071061,217062,630
358,1287168,3017206,9029
359,244854,754891,225
360,4085623,4488362,804
361,2985668,2730949,121
362,2434952,1619400,2673
363,4014664,3005882,598
364,1132039,1284166,518
365,1063377,1989026,5242
366,3114061,257104,1051
367,201208,49768,56
368,574695,230446,36006
369,4549398,1689039,670
370,4600134,4499634,366
371,3763337,1257051,16391
372,4787393,3465103,177
373,4633577,2946725,546
374,3452192,3745072,373
375,4837314,1405519,171
376,2171358,4639852,527
377,2915107,491852,117
378,2146363,4223666,177
379,4022814,1532516,1019
380,384798,2369304,119
381,1335561,3422412,564
382,2766651,1603729,856
383,3912764,1702233,1681
384,332358,3630776,93
385,2711792,1908942,246
386,1619329,2751324,770
387,1596963,663653,23
388,4366907,853244,342
389,1140769,4003463,257
390,2471891,1842206,67
391,1488894,804420,411
392,4782388,2617603,169
393,1049492,4577899,4678
394,1927555,4809338,117
395,409991,745080,999
396,2868729,209562,50
397,4538062,2135899,3399
398,3184961,2906703,1769
399,2300464,1086249,568
400,2762481,1802456,3662
401,1609286,4400935,185
402,1628863,2632013,65
403,3677360,1782555,301
404,2395078,1206279,172
405,4611286,1052729,309
406,3169284,470204,313
407,1506690,1416529,121
408,3234922,475821,30
409,4302499,130848,4182
410,3761317,1365355,419
411,1897195,1341854,35
412,45986,1660284,232
413,455599,1494927,210
414,2136000,4385947,650
415,256201,1294553,89
416,3890448,4722827,3984
417,3773245,4653266,122
418,1952272,3325406,52
419,2300246,4158172,160
420,3222384,3507219,65732
421,3399075,3779861,1909
422,347715,2127258,107
423,4214306,900689,519
424,3266984,1448556,356
425,169650,274950,123
426,1433247,1590857,966
427,2383394,468651,10874
428,3063478,3181408,758
429,1097603,4749496,672
430,1343350,744455,196
431,1164411,2817097,762
432,4724928,1007939,270
433,4736417,2641539,814
434,4159820,4407877,25
435,2909856,2422805,200
436,258948,2298981,204
437,2424643,2740141,87637
438,1553616,1197620,126
439,1520254,2538801,293
440,1818698,4664679,122
441,144060,136400,10238
442,2020889,646448,2938
443,4780388,968851,701
444,2102677,4613883,365
445,2461879,1209604,47
446,160818,709848,5311
447,1401550,3620630,815
448,783709,21662,59
449,150171,286472,3658
450,4612494,549485,469
451,3272526,721282,48
452,84726,1404837,157
453,559652,1999091,270
454,2456479,3660550,509
455,131200,4694239,249
456,1403344,3208206,275
457,3929625,2201243,6
458,3622805,4096612,371778
459,3414541,2363399,535
460,1930352,874565,914
461,1563429,1318523,792
462,1182194,4493806,127
463,4225886,3721298,1182
464,1408139,127950,7765
465,3903025,319044,825
466,2702338,4762679,4892
467,4099622,1531876,156
468,1178308,4790146,327
469,3627790,2818164,674
470,3726725,2049715,817
471,1234471,1034122,5763
472,2986501,870428,83
473,245651,952688,2488
474,1128316,303543,1312
475,4679590,378218,324
476,23990,844832,2828
477,1501709,1841906,31
478,2339541,4236146,725
479,3813630,3285609,58
480,1648899,2023675,41
481,4451424,3430488,345
482,150985,2023484,285
483,1819250,3710241,229
484,3891364,2949813,473
485,171548,4309706,242
486,2435515,3994740,2510
487,898515,3699749,158
488,2018936,2750152,28
489,2805661,2817056,3950
490,2888230,1669117,76
491,1136345,695111,101
492,3712498,690084,1207
493,2903089,1947006,74
494,4389575,1673289,2375
495,2086336,2400247,11322
496,4310862,3340476,93
497,1986478,1151263,944
498,19451,4470008,1414
499,3653227,4698566,474
500,279288,1397718,72
501,339567,2040968,249
502,4609702,4063523,618
503,1397316,4643173,2167
504,1216896,4125905,116
505,1920893,1876085,636
506,3323708,4454175,1479
507,3419799,4007276,2962
508,4029708,4659457,658
509,4230074,4486159,339
510,3550092,3419090,429
511,2109677,3530012,214
512,1185400,1106637,95
513,2301264,158731,8362
514,3234845,4022241,126
515,1310817,3064489,480
516,2058283,4609415,217
517,3042121,1621224,19
518,1447046,4711948,84
519,587095,3218496,169
520,497106,73827,1036
521,3285875,4724464,470
522,4373891,275639,4226
523,1348793,4004571,1971
524,3198236,1722209,54
525,4860911,2189591,28
526,1349133,3080725,140
527,2047012,94321,423
528,1679775,573826,780
529,3075945,2059985,1424
530,4432608,3336698,160
531,3189954,1087324,257
532,500739,1921667,834
533,2845650,4108731,1816
534,2642732,1984005,330
535,3303860,2984265,15
536,3866829,554726,121
537,1542018,4606604,1061
538,1244565,288635,226
539,552802,3149670,702
540,4146884,1904268,218
541,4196302,4195925,123
542,636521,156930,78
543,834072,4644636,200
544,2145284,2367831,354
545,7868,1438811,2004
546,1151012,4595159,8833
547,195823,2297290,94
548,3498633,3250912,61
549,1176840,3708871,347
550,3652024,4579537,776
551,4585801,1410032,292
552,965977,757234,345
553,4276,3467832,388
554,1591738,4130514,226
555,3726255,1690853,1459
556,4750778,932921,276
557,1544783,545075,133
558,3728686,2299782,258
559,4134777,3010701,376
560,4737649,317017,229
561,1113383,572050,48
562,4791237,4669469,1849
563,1625926,1323604,133
564,1057767,2106810,1629
565,4360797,2567319,482
566,4501001,3747641,179
567,3979814,1383065,1787
568,3958498,3400119,64
569,4472613,4782942,857
570,2826552,1851929,238
571,3930113,1969392,459
572,4071650,1967153,129
573,848450,1311163,5102
574,4421038,4236120,500
575,2924011,378360,59
576,2216079,1058463,78
577,2619921,2243004,129
578,3401659,867777,1183
579,4850825,846953,322
580,4627451,2979388,2749
581,4455263,1253026,2664
582,2366247,2506073,267
583,2167353,1201942,1030
584,3727094,2061597,254
585,4307670,4579336,138
586,2720575,4595178,2746
587,3507605,3898713,728
588,4300146,1860277,143
589,277097,664372,480
590,3454316,355653,5434
591,4804889,1258662,7742
592,4531017,4813904,268
593,3732480,3733752,1596
594,2914647,4152370,243
595,1604519,4809986,3022
596,3907690,4007453,453
597,2670017,1805044,3567
598,255712,861508,128
599,824841,1324381,144
600,1075138,1095215,121
601,4549427,1689039,604
602,3348381,2086336,398
603,2292299,1621542,415
604,1317354,3054311,65
605,4702057,2922419,308
606,4789062,875708,324
607,3196320,4741885,40
608,243028,3158766,4368
609,3200179,1242327,1807
610,2376306,4249861,1117
611,1122024,3271567,298
612,3852135,3266102,10057
613,4032122,1949143,212
614,3223920,3378708,136
615,2239712,4041512,114
616,1152111,3955212,197
617,2438138,4405443,284
618,1182125,2016362,130
619,4825117,3226188,3065
620,4509053,4614759,1034
621,954783,4107041,419
622,2694897,4221994,105
623,1459605,355183,255
624,3957243,41215,284
625,4392240,4670924,179
626,4662222,627979,1546
627,1772618,2517958,406
628,3507605,3743087,428
629,2988110,306066,94
630,3460470,2914869,15825
631,4724928,3081689,504
632,2357765,123020,263
633,4503243,2503081,74
634,1395639,905235,2127
635,2163840,1487443,50
636,1173867,1594195,876
637,2990719,247965,86
638,4334594,4672164,163
639,3175677,4294132,438
640,3154897,3743287,27
641,2380033,823904,4868
642,2204209,2393,284
643,3204489,2021656,467
644,46347,4105798,168
645,1546131,1476256,562
646,4832741,3628271,204
647,230959,3056188,240
648,803117,514516,85
649,2728019,2857848,790
650,1101391,3302218,428
651,2629332,1739999,104
652,3196935,1226698,6559
653,3545915,1760349,271
654,467020,3890374,534
655,3283449,833637,427
656,2684857,3394755,225
657,1310076,970851,85
658,324700,4458047,1586
659,3455337,759828,47553
660,1469417,82340,1172
661,2945451,2873928,209
662,47367,2619824,62
663,1975212,3490790,870
664,2500159,1007714,1264
665,3403476,1454600,563
666,2048,3986213,156
667,4501695,1127019,283
668,2205192,2295414,1482
669,2354150,3239759,901
670,4383563,1174,572
671,475933,4833712,478
672,4782926,3536565,1385
673,4487677,4825406,271
674,4327965,1331438,67
675,1550721,2116162,444
676,2517457,1728898,136
677,1838574,4098262,334
678,4612771,3288555,257
679,642996,3506813,967
680,2557232,564584,12950
681,4223610,3482459,150
682,1769495,2395183,536
683,782197,2194084,1620
684,1770200,2516884,8809
685,4031633,4588297,200
686,1470412,4422560,127
687,1775497,3613127,248
688,1824620,2651938,533
689,1279839,1677752,253
690,4132752,404449,310
691,4448187,4748339,694
692,491128,4657499,1450
693,2560508,3925409,89
694,104236,3605785,143
695,4700248,663112,1725
696,2629845,4456828,152
697,1570585,331274,796
698,2852734,324237,1379
699,1041665,1229102,2881
700,3715323,3549444,374
701,638553,2757877,235
702,4836716,3354830,622
703,4017320,922747,601
704,1459605,3415082,254
705,3303902,2181529,1220
706,3674345,3378280,40726
707,1726836,4480898,483
708,3806390,1976038,302
709,878442,4036279,387
710,3595486,2643790,64
711,420410,2867013,515
712,803951,2242566,46
713,3628696,3853365,38
714,2616335,2908614,48
715,1981986,4035202,84
716,3054430,1057861,46
717,4334594,3051327,6697
718,4812944,3535207,705
719,2674631,1867538,9
720,2942785,1035309,524
721,1335561,1909814,290
722,306263,2130956,43
723,201208,951008,57
724,2740508,1609914,1074
725,4153888,4755721,775
726,2452515,1716535,591
727,4751661,1206612,3691
728,3182725,2251944,5
729,4329998,3123735,149
730,4246368,4607134,250
731,4306984,31402,220
732,987441,4503707,479
733,1991608,2364292,309
734,4300700,4266500,23
735,4498960,2930986,87468
736,3102958,2181529,1444
737,1515040,797189,447
738,885070,2221607,1015
739,3011316,3884937,118
740,1213594,4105851,3915
741,2305935,678890,15
742,1006164,1656495,500
743,3011799,1673519,14986
744,1667129,4633379,42
745,617629,1105588,367
746,926720,3307114,229
747,565577,4336035,52
748,126887,752827,290
749,2840784,3061859,217
750,1192675,4205790,469
751,1947457,179198,58
752,984342,3491166,554
753,3049221,4031243,103
754,4859244,164230,304
755,2461340,1258551,3618
756,3623046,3129979,131
757,2682807,3198660,500
758,4274919,4523540,418
759,2222560,2473200,4944
760,730935,3142497,188
761,4304731,1992367,225
762,3522361,4607737,1788
763,2350820,2084576,18
764,2109685,3573818,215
765,3097821,1993893,1400
766,3580033,4322839,2853
767,4062909,416502,421
768,207617,1986693,509
769,3182466,3045735,925
770,879908,1994245,111
771,4315961,2089841,113
772,4696456,2450580,491
773,1922327,2208559,732
774,1086861,4114260,265
775,3101866,1973521,19
776,1389250,1202352,1972
777,3156079,1084494,274
778,1768567,1239673,258
779,3462030,3040850,303
780,2152175,3386770,246
781,4551087,2858575,268
782,3249150,193283,639
783,2681125,4157835,1087
784,1970075,4146791,6271
785,456376,3282684,51
786,2250754,3054105,1212
787,95788,127780,588
788,2925348,2742304,167
789,1049150,1483273,2905
790,2486379,1429344,946
791,2326042,575926,1789
792,3110933,3438089,210
793,1846616,3866982,427
794,2871577,259324,558
795,3725944,4668743,2131
796,3266143,1054633,3998
797,3982958,4028169,5
798,2763196,4737099,32814
799,1666632,2920024,32
800,718458,4615321,158
801,5089,328448,1109
802,2912719,2979388,2675
803,4532884,2397948,239
804,2487570,1271488,547
805,2210034,2685425,1389
806,1204176,3775387,909
807,3993419,1458675,64
808,4767918,2302691,2707
809,3803252,3698779,117
810,1292292,3865282,166
811,4091650,1529244,46
812,446032,2154457,255
813,4649516,2209103,253
814,3695509,65638,728
815,148935,4811932,96
816,886108,905765,139
817,1190951,4690782,104
818,3626245,1962035,392
819,1948085,1846065,822
820,2482350,2278610,90
821,2962254,2827901,1388
822,2332217,3185052,83
823,3297316,2057510,488
824,2416046,1105588,430
825,426668,4631936,403
826,496868,105246,6
827,3034565,1821811,141
828,4606514,907012,75
829,4274057,4538199,179
830,3107357,1742303,29
831,4538043,3575682,846
832,3656366,2979261,233
833,4396298,2826632,666
834,16594,1646682,215
835,143220,3494535,85
836,807742,2493146,34
837,771710,4806172,31
838,3204376,2359631,2575
839,3915080,2966620,53
840,3249409,4419768,218
841,680507,2053301,58
842,2844764,2094403,69
843,2136096,1598748,237
844,2704117,3935784,354
845,3053000,1212931,143
846,4503555,1271150,1000
847,4505818,1411178,3172
848,3126141,3797741,891
849,1653827,716887,79
850,1746167,1710765,1151
851,515975,2133291,131
852,3981319,1616341,1191
853,212575,78001,67
854,4727351,2334645,2074
855,4306542,3737446,24
856,4238620,1854886,1896
857,1473900,3584952,3279
858,3526712,3873655,316
859,776837,2031470,989
860,1781994,221130,107
861,4157407,2041684,970
862,3387380,3382309,89
863,4771179,3918609,438
864,3077171,2242021,11
865,3126141,1105233,1095
866,3094990,4601392,4311
867,992746,1789434,4843
868,974241,3572636,239
869,1327440,1466192,831
870,471105,1986462,54
871,4367141,1803707,161
872,3007021,298105,1130
873,3508770,3716870,1986
874,1605266,4345411,588
875,4414997,2763539,49
876,3815718,965233,720
877,4558718,4477346,141
878,478181,2638176,258
879,4446498,910551,91
880,2481722,4732326,326
881,1481434,1938916,615
882,1632644,2921116,278
883,4382423,3617572,1653
884,2075441,3184771,529
885,4170583,4072550,695
886,1961152,4745890,271
887,2356085,3778486,9
888,2588017,3596547,531
889,2868212,685256,625
890,370525,3929021,2550
891,3089257,4098923,70
892,2457642,4387555,334
893,2779887,1742444,414
894,2598272,717002,4842
895,499530,4758605,471
896,2654094,778360,357
897,1998202,3119624,5001
898,1813608,2662345,400
899,483345,2826679,214
900,3587474,1836534,5378
901,4843491,1000598,221
902,1345474,1993893,1406
903,276809,1338578,317
904,2049302,3273890,741
905,4235225,1728318,1110
906,2422272,3054246,493
907,4759196,110553,385
908,229913,4413218,23
909,1891154,1504106,201
910,1467477,2408564,62
911,1969873,2716022,82
912,4020444,4211497,3241
913,101838,1005164,353
914,1220741,1756761,1084
915,4357167,1938570,1032
916,115942,187940,122
917,76713,3621559,961
918,3647690,3642981,423
919,2633049,77035,221
920,4589303,2337648,131
921,1435516,2315226,57
922,999685,2648425,1648
923,264520,2210890,1978
924,558571,2475440,254
925,1024777,910755,3957
926,858905,843636,416
927,4047213,3572447,624
928,1060441,463043,124
929,1049970,3078305,313
930,2610005,82301,429
931,2578445,2742606,14283
932,4275718,2790099,32700
933,35842,1840959,2370
934,4617371,1145730,79
935,2292098,3037900,233
936,4439696,4060999,259
937,3226838,4052990,32185
938,2607301,4279936,2234
939,995486,94427,324
940,3190499,3577652,30
941,1131513,4222791,473
942,1487867,290241,94
943,4795640,3439420,90
944,1677935,777501,257
945,3003773,3965125,195
946,3638601,4159902,866
947,4091571,2057832,277
948,3454963,4167373,678
949,3044039,3823404,222
950,4225721,2949748,1104
951,3903454,4204989,362
952,3101181,1600897,2738
953,4292767,4200228,45
954,1828452,282738,2006
955,3230665,4413559,362
956,932451,1692815,767
957,4279761,3434826,161
958,2640762,750770,50
959,4698322,1480185,1309
960,2482350,4523961,71
961,1726152,4086068,3030
962,3857721,2363392,1343
963,301221,3137409,574
964,1735883,1347462,2824
965,635924,3980791,208
966,2496573,4143220,457
967,4207066,4552885,4463
968,20295,1324992,99724
969,282738,238014,2210
970,4248813,1322227,76
971,2899375,1634098,575
972,4440444,4411289,94
973,153430,4176442,42
974,2525847,2597519,179
975,1153580,68695,2851
976,4816163,1552199,15
977,1204056,4134951,690
978,1507776,4625867,81
979,3862160,927107,21
980,631029,3085310,139
981,3292145,1696837,14832
982,1986922,785893,1468
983,727535,3439201,813
984,2509282,4179348,8
985,2003319,1715065,52
986,3832954,46710,113
987,2060035,1346024,245
988,908170,351962,21
989,2796817,1603275,2832
990,163643,2882296,730
991,1824620,3885455,505
992,1439892,1324992,98810
993,2257028,3557291,845
994,1068926,1958906,208
995,2486987,3279494,403
996,1322268,4390465,35030
997,2420317,4746757,93
998,3234711,3773437,2675
999,3493966,4527536,371
1000,17245,1014944,3284
1001,3619046,1255074,395
1002,353855,33773,541
1003,3372039,2242816,2644
1004,1243355,3135593,878
1005,3761317,76667,435
1006,540178,2065999,49
1007,1761173,2900702,55
1008,806785,4345803,1588
1009,520136,851237,189
1010,92356,4400515,1459
1011,1828246,473043,342
1012,2173151,1024777,187
1013,4245940,3905926,1890
1014,3254161,3344278,521
1015,1919222,4847918,3788
1016,2876679,2649220,276
1017,2685708,350314,176
1018,3037471,3351610,229
1019,1489738,2823434,234
1020,1035595,3177976,674
1021,2767461,4374620,184
1022,4299096,1242327,2020
1023,1175602,3650803,1097
1024,3997449,541721,310
1025,4220227,888836,17587
1026,1888430,4164656,1608
1027,3630094,4093593,435
1028,3260897,2059398,61
1029,3458359,551685,376
1030,998253,1334906,237
1031,4564989,2138288,691
1032,4413315,3152924,2407
1033,3044039,856916,6235
1034,1865377,4636019,340
1035,606761,2658818,845
1036,2508178,197603,141
1037,1590882,3799335,171
1038,4479178,3337311,179
1039,3042121,4022981,24
1040,1222767,1337901,150
1041,189137,3707350,4141
1042,4564947,3539593,906
1043,4661198,1565469,1736
1044,2921853,1665942,103
1045,4348766,4716721,567
1046,754491,3606387,69
1047,1961849,3649320,105
1048,1691903,651795,173
1049,4310719,4767700,909
1050,635907,2502797,648
1051,760911,3860178,345
1052,3862160,1389180,43
1053,132853,4125302,3738
1054,811239,1187817,102
1055,1055988,547593,1523
1056,4595673,1373036,185
1057,1429183,4156017,100
1058,2675276,4522292,98
1059,1152111,4454737,1176
1060,3885342,2744082,52
1061,4461671,614029,627
1062,17660,260714,4829
1063,4243983,1346688,262
1064,3422310,3605635,647
1065,4257630,784418,590
1066,2604474,772396,431
1067,66062,2390617,841
1068,2299928,2733212,30
1069,1250650,288350,107
1070,481068,4396743,72
1071,2468519,4211728,1251
1072,2006237,3426063,63
1073,1869476,4651416,19779
1074,426011,1305670,240
1075,886710,781813,55
1076,4311290,2932236,725
1077,4093168,601456,88
1078,849848,598842,98
1079,4163280,4835007,73
1080,665522,716943,48
1081,4587860,3812837,1452
1082,4074289,4168492,44
1083,3529930,2507173,19
1084,529453,3294213,97
1085,3110854,528835,216
1086,1855038,3533203,158
1087,1255620,3579983,332
1088,789821,873406,70
1089,3832051,1403567,237
1090,3259436,1583704,427
1091,3300111,3166123,472
1092,4721805,389312,5
1093,4161118,518238,1154
1094,378799,4441914,11
1095,1851286,615740,303
1096,3953029,1232081,1092
1097,4095099,4020896,512
1098,3634165,3042674,581
1099,2808502,2835494,26668
1100,4628181,1968517,177
1101,434593,3870424,171
1102,2833758,237574,105
1103,4136514,2567418,168
1104,4317947,1488971,2600
1105,4002172,3642884,449
1106,376424,847450,164
1107,1551687,3161152,139
1108,1452253,2979388,2615
1109,4342778,94321,423
1110,3265042,1663756,572
1111,980606,790371,42
1112,3605497,1194830,237
1113,3750870,4272176,459
1114,2821319,115485,643
1115,4415048,4359993,70
1116,4472299,3026070,695
1117,1289611,4287035,230
1118,1611864,4308170,2026
1119,568741,2162676,256
1120,2013055,3596406,22
1121,1799556,3377837,703
1122,3917977,4069212,261
1123,1026187,2604044,67
1124,3036197,859642,2551
1125,4624816,1352043,254
1126,2301621,104263,128
1127,4469001,1122560,46809
1128,4721192,2498962,236
1129,1136345,614016,398
1130,482013,3961686,261
1131,2057720,1483713,507
1132,3193210,663337,63
1133,3287864,3583627,59
1134,3269084,3383275,40
1135,1901271,1649146,701
1136,1677157,1586085,81
1137,986914,4659074,336
1138,2332783,3296169,415
1139,24392,44172,492
1140,3748195,2253113,1502
1141,2533991,136400,10548
1142,3733107,4641993,95
1143,4653515,4614066,2367
1144,82116,1843902,203
1145,43778,256508,415
1146,3362288,2544271,3129
1147,311061,1427563,233
1148,1659324,4063437,34
1149,3752981,4793879,120
1150,4797950,2870890,40
1151,1824620,2036744,620
1152,2210458,4679490,195
1153,3278257,239096,126
1154,855404,1917515,97
1155,2940560,990148,519
1156,799760,3982403,188
1157,215004,3019723,681
1158,3898489,564844,288
1159,1688194,2846928,7
1160,2767192,2361673,103
1161,445710,918380,80
1162,1226964,3554524,1925
1163,3940380,3357571,411
1164,1153580,2947169,114
1165,349903,3780684,98
