0,source,sink,z1_b_to_a
281,740264,775607,0
282,2326042,3593013,0
283,2597890,4398241,0
284,4347620,3709618,0
285,2956481,3808878,0
286,2421138,2173151,1
287,3325878,3941234,0
288,3969780,3375372,0
289,641527,2264701,0
290,3750870,214372,0
291,3136757,2292933,0
292,194271,4138613,0
293,4837795,2032867,0
294,4532809,3889649,0
295,2019222,2153519,0
296,1047207,311498,0
297,2970262,1729215,1
298,1221209,2747564,0
299,268995,1173364,0
300,4427946,1339329,0
301,1607490,654860,0
302,1460872,4581556,0
303,2019845,4577899,0
304,1704367,3164073,0
305,2745910,3104940,1
306,2133929,3867352,0
307,3871942,4799962,0
308,3257910,588337,0
309,765302,2762989,0
310,3960835,4669648,0
311,2629112,1529484,0
312,2073048,421699,0
313,4524669,2949748,0
314,144060,3080263,0
315,3764504,3328639,0
316,433097,4052222,0
317,1986630,2951260,0
318,2398278,209191,1
319,1974705,1581879,0
320,1443500,1164411,0
321,3550092,3753484,0
322,3107199,690742,0
323,2019781,636552,0
324,3478606,1281736,0
325,919613,1735123,0
326,1432948,4331707,0
327,4782388,1065417,1
328,596337,409262,0
329,4106517,3002541,0
330,1065985,4673981,0
331,3757808,890719,0
332,4865292,2472812,0
333,1817278,3209863,0
334,2535495,1937230,0
335,1524949,2845319,0
336,2699583,2224526,0
337,3589315,1592667,0
338,1501709,3370956,0
339,2135899,3893892,0
340,3380008,1519730,0
341,3120092,4618432,0
342,1322906,784341,0
343,155804,834066,0
344,56567,3302825,0
345,432620,112551,0
346,1239755,165055,0
347,2314931,2658417,0
348,3043233,857634,0
349,4444751,719172,0
350,3144674,3401173,0
351,2681125,4245138,0
352,4355412,3494128,0
353,4114591,1582028,0
354,4099850,924833,0
355,103916,2808644,0
356,520324,3222831,0
357,3443992,280322,0
358,2008046,4864558,0
359,1981993,463338,0
360,3004094,819288,0
361,4467857,2374812,0
362,1143671,3610611,0
363,1114213,140603,0
364,2283170,3108276,0
365,3039452,1019859,0
366,298011,2396903,0
367,3491637,3299008,0
368,4345638,1914315,0
369,3193210,370765,0
370,279329,4093834,0
371,1091584,977565,0
372,4310710,290077,0
373,3725239,1818269,0
374,1799182,3537761,0
375,4366747,1672058,0
376,2921853,1063377,1
377,3210136,2558297,0
378,1618265,2401545,0
379,335479,673405,0
380,2393127,315060,0
381,2305619,2629421,0
382,94280,1191204,0
383,3396488,1921136,0
384,1184100,1487302,0
385,3561479,3836738,0
386,2920873,2227745,0
387,3576624,4268303,0
388,527595,1894941,0
389,919165,1264290,0
390,4014552,4632479,0
391,4135084,17392,0
392,245914,1905607,0
393,2618052,4188938,0
394,4836378,4536767,0
395,437876,2566889,1
396,2497998,95673,0
397,1036152,502401,0
398,2585063,3153339,0
399,311952,487639,0
400,4260998,2255438,1
401,795918,448525,0
402,2720299,2127901,0
403,1459605,3749748,0
404,3547614,2860781,0
405,3335130,438964,0
406,1933312,3256959,0
407,3564448,167816,0
408,3432616,2332893,0
409,2633605,1933805,0
410,2832099,593309,0
411,2366431,4838273,0
412,623567,2164839,0
413,3994516,1354897,0
414,2315048,2033602,0
415,1637898,4121411,0
416,892193,4336282,0
417,4578655,3601327,0
418,4152864,1994852,0
419,2533205,2449296,0
420,3035063,3658576,0
421,1063789,1199206,0
422,4717616,489300,0
423,3652352,1702417,1
424,1024682,1315850,0
425,2587055,3472626,0
426,2086863,512769,0
427,1493935,2241589,0
428,941692,3517094,0
429,2912801,871888,0
430,3606548,626239,0
431,2200735,2157328,0
432,3544260,2618757,0
433,1862492,54381,0
434,3445194,2976923,0
435,4114513,3383210,0
436,3744513,1129682,0
437,2055183,1190704,0
438,3592571,377102,1
439,484479,352855,0
440,4518583,1939151,0
441,2741551,3680201,0
442,2589986,4298355,0
443,3446506,3393730,0
444,1080614,1486892,0
445,3819586,3914665,0
446,2232341,2167763,0
447,3663392,2116501,0
448,135756,1415397,0
449,1304570,762511,0
450,3268179,1312177,0
451,1034420,2582486,0
452,1395712,207348,0
453,28366,1841875,1
454,628921,901150,0
455,2156930,302849,1
456,4742865,4011635,0
457,579052,4286269,0
458,3622805,2239775,0
459,1097755,19760,1
460,4681267,4047729,0
461,4214037,1124684,0
462,3328824,4725447,0
463,1632157,3441172,0
464,2733872,2966772,0
465,4402871,3812818,0
466,1807180,817365,0
467,2763391,4023498,0
468,1626617,2819030,0
469,4130943,4188416,0
470,467667,4000293,0
471,585290,2615912,0
472,3437795,2770964,0
473,3206172,4186227,0
474,174802,3795595,0
475,4371955,1776702,0
476,2810159,2277589,0
477,2044305,2746365,0
478,2952533,3517217,0
479,2914124,4682995,0
480,61530,3335540,0
481,4591296,1929062,0
482,4428300,2480985,0
483,46090,1450214,0
484,659769,20462,0
485,636099,1164072,0
486,2407305,95886,0
487,1475238,1917370,0
488,550624,1332575,1
489,3206394,2933565,0
490,3940380,3051327,0
491,273164,1413055,0
492,1957538,4839138,0
493,2749267,3859663,0
494,173719,2037535,0
495,384254,3003794,0
496,410127,290758,0
497,2586954,1166818,0
498,172972,4299050,0
499,2422604,909677,0
500,4326329,732416,0
501,3476921,4329139,0
502,2346396,3113197,0
503,1397316,1548423,0
504,4590349,4475906,0
505,4462368,1729215,0
506,1327440,2866511,0
507,505918,80983,0
508,1041665,246307,0
509,1619831,4149096,0
510,1602676,4821149,0
511,4498800,2530095,0
512,1220744,2494359,0
513,3216894,2917270,0
514,823636,3470096,0
515,2464404,2214631,0
516,2225928,937883,0
517,3874174,3660958,0
518,4510312,4641648,1
519,1772905,1164032,1
520,497126,1813537,0
521,3956535,1366076,0
522,311395,4517546,0
523,691053,2551093,0
524,1202094,4419310,0
525,2511862,702114,0
526,1537593,3531111,1
527,1809060,2755105,0
528,4561995,4101406,0
529,1183256,851822,1
530,2259583,180886,0
531,617956,2413499,0
532,1294163,515021,0
533,2063062,1342577,0
534,1800416,2888042,0
535,4691181,4610787,0
536,1834142,3836704,0
537,949172,2071647,0
538,2536161,4132261,1
539,625451,3547349,0
540,2290078,107998,0
541,3494888,248970,0
542,268519,2884416,1
543,158115,4633431,1
544,4699529,317786,0
545,3256646,751974,0
546,3725632,731420,0
547,2171358,4477620,0
548,931647,1765411,0
549,2744198,3642845,0
550,1765731,1258166,0
551,2649630,1742482,0
552,1641756,2486979,1
553,4036817,1703634,0
554,3849807,2866908,0
555,1167211,1840412,0
556,4766814,3298954,0
557,947762,3341056,0
558,3136926,4534450,0
559,3730870,3175312,1
560,2690278,3761780,1
561,2058283,8356,0
562,2646810,4575002,0
563,3633833,2573172,1
564,4247331,82320,0
565,3983042,2701676,0
566,2093176,2186222,0
567,1412983,2528294,1
568,3920505,4846084,0
569,3320046,4335591,0
570,1262238,1048746,0
571,3059183,1766159,1
572,1495241,4548619,0
573,3717996,3452178,0
574,908046,458466,0
575,319732,3806748,0
576,748200,1665032,0
577,856916,2741764,0
578,2695621,4579955,0
579,4016649,3678951,0
580,3699726,4642092,0
581,4599604,1537367,0
582,4323755,1211774,0
583,117178,2785207,0
584,2934603,2472584,0
585,1432887,2529373,0
586,4493215,2784278,0
587,4159232,4217711,0
588,3756910,1193087,0
589,1648871,4590454,0
590,4458811,3019604,1
591,3148390,2002788,0
592,769445,2986095,0
593,4542296,4029056,0
594,3097604,4305969,0
595,3135278,1898689,1
596,3490385,2303097,0
597,2880138,1230311,0
598,1799854,1094216,0
599,3441024,3198893,0
600,1712592,256053,0
601,1213060,3485270,0
602,674419,1687481,0
603,2253113,4199739,0
604,1687100,4699308,0
605,1687914,1492115,0
606,4467644,4597686,0
607,1287150,4587728,0
608,885888,2401150,0
609,4059232,1934540,0
610,2167353,2927967,0
611,2431787,2243309,0
612,4066935,3061931,1
613,2912103,2616761,0
614,1451983,4398710,0
615,1760195,3815591,0
616,1268923,4185459,0
617,3584579,4561007,0
618,3210823,4593452,0
619,2679215,4079576,0
620,3308965,1499488,0
621,1308257,1360090,0
622,4556619,524247,0
623,3464435,3158801,0
624,4834181,1615948,0
625,4548696,2910685,0
626,1486569,380005,0
627,1221273,4569835,0
628,1504438,1269021,0
629,273892,4626132,0
630,4312824,3833152,0
631,2240718,1337977,0
632,1187945,4097285,0
633,1628691,4570236,0
634,3764155,1080529,0
635,2259251,4196528,0
636,2299390,1491019,0
637,1049492,398291,0
638,233391,2965375,0
639,717673,3995418,1
640,2941407,2964315,0
641,682761,1558128,0
642,4352101,697201,0
643,4239933,2533625,0
644,1068581,2394046,0
645,1176065,3366522,0
646,2913818,4272458,1
647,4159234,597760,0
648,4818958,708203,0
649,3192626,1092178,0
650,3438286,4629375,0
651,879908,4254453,0
652,1954387,610672,0
653,1452,3373263,0
654,4207021,606980,0
655,1413126,2746611,0
656,3149884,128838,0
657,2598830,299664,0
658,3017206,948009,0
659,970600,2125683,0
660,1211741,4121054,0
661,2835234,570107,0
662,675370,1471569,0
663,4610268,1275066,0
664,1584806,1092555,0
665,2904717,762869,0
666,3892708,1170664,0
667,3976780,1552898,0
668,1808958,3153165,0
669,3293844,282738,0
670,2027803,2619844,0
671,250137,2976917,0
672,4418160,3626136,0
673,3372601,3785031,0
674,3318630,701503,1
675,3961269,303000,0
676,1978642,1969680,0
677,1285540,3833101,0
678,4399173,2631408,0
679,1225417,3677077,0
680,1917370,970119,0
681,716749,4720136,0
682,2164938,2616090,0
683,4021250,1378011,0
684,1898939,2124762,0
685,725231,2353568,0
686,1072647,2289244,0
687,3316884,1440533,0
688,2308616,4597182,0
689,2468610,1173627,0
690,4280660,4011543,0
691,4358480,2619379,0
692,4247587,4266094,0
693,1362833,4644467,0
694,4849080,384166,0
695,2933517,1722935,0
696,251110,4829418,0
697,3046801,4326881,0
698,3300747,409240,0
699,2205989,736972,0
700,4759196,2959134,0
701,352777,1582441,0
702,4732444,4677915,0
703,1450478,3800540,0
704,3345046,4255985,0
705,807609,2070084,1
706,1893341,2401643,0
707,3968198,1413750,0
708,3502346,4395778,1
709,3424526,865480,0
710,3997092,847152,0
711,871619,88771,0
712,3591727,4128045,0
713,812874,2576794,0
714,2967237,819090,0
715,2683846,1765869,0
716,3933860,4187117,0
717,3755255,3173162,0
718,4479676,2054407,0
719,1092129,4740893,0
720,2978353,487236,0
721,2831459,3748022,0
722,1861711,3429791,0
723,128268,3306286,0
724,4447307,3657540,0
725,4583130,4195270,0
726,1903802,3756910,1
727,1226964,4506897,0
728,4122877,478112,0
729,3531100,4818685,0
730,4722544,1565469,0
731,492776,2057832,1
732,202406,1370056,0
733,739365,4478927,0
734,3130360,3381180,0
735,3971343,774221,0
736,1639225,497594,1
737,3080878,3107755,0
738,314720,466302,0
739,4074945,67911,0
740,4627005,3010945,0
741,3763328,2178305,0
742,265346,3088232,1
743,3446384,679574,0
744,887938,3994705,0
745,3223920,2516690,1
746,4858799,4350911,0
747,4510458,1127255,0
748,2270094,2546813,0
749,4060750,2393523,0
750,4282575,3861442,0
751,3251045,3297002,0
752,3031208,664506,0
753,3434262,3173953,0
754,2226291,4082571,0
755,2032980,4096612,1
756,4143745,683678,0
757,2220133,979255,0
758,552690,1513515,0
759,2089216,4666032,0
760,734968,4266986,0
761,748396,3222295,0
762,3473274,4010152,0
763,401726,1700117,0
764,4205304,4326349,0
765,713973,3737538,0
766,268979,3902256,0
767,1774406,2445713,0
768,1566271,3727886,0
769,1747009,542316,0
770,3760607,1428975,0
771,2062066,3937192,0
772,2469227,2769934,0
773,463854,2442529,0
774,3369814,1205255,0
775,268091,1807947,0
776,3561896,257577,0
777,4181239,2507601,0
778,745210,3851609,0
779,4247950,4173475,1
780,4611286,3527826,0
781,3094990,3311965,0
782,4459514,1633484,0
783,2814285,4198583,0
784,2152778,2815618,0
785,9202,1609289,0
786,2858107,3025604,0
787,3881850,3284336,0
788,1200874,703387,0
789,1730864,4776931,0
790,1976020,3906437,0
791,3478937,4411245,0
792,2606468,2151625,0
793,810847,3601552,0
794,2518054,3994251,0
795,4730476,3723065,0
796,2675276,1802531,0
797,274343,996371,0
798,3650803,3477517,0
799,1159131,3007594,0
800,4660393,1063328,0
801,1430292,3755407,0
802,4855215,3292438,0
803,155341,4215650,0
804,4791237,668241,0
805,504848,1473701,0
806,812688,440093,0
807,1218819,4522612,0
808,904699,3825480,0
809,3371729,3273144,0
810,2518902,2524567,0
811,2608048,891969,0
812,133167,3827835,0
813,1735998,2685390,0
814,1851023,2661301,0
815,4223007,4651979,0
816,2978385,4096612,1
817,2982118,2890172,0
818,1985096,3281495,0
819,2872865,772280,0
820,1730546,2700195,0
821,3759171,3267798,0
822,1474194,1736248,1
823,136049,1205898,0
824,779856,2791664,1
825,2976069,2589511,0
826,56121,3118599,0
827,752326,4027234,0
828,1129405,1073098,0
829,4219582,352759,0
830,67800,1774334,0
831,1562061,3275980,0
832,4469172,3056997,0
833,1632644,2747148,0
834,2103452,2394094,0
835,1792282,1275575,0
836,2337068,2777919,0
837,383188,487074,0
838,3624273,1694426,0
839,1927607,3784976,0
840,2564846,3871166,0
841,469289,3658913,0
842,3579512,3070342,0
843,3609789,1916723,1
844,1005255,2558769,0
845,4820881,4005729,0
846,2666350,3968888,0
847,979653,1836007,0
848,3156444,3459373,0
849,3454223,3088232,0
850,1691726,1990675,0
851,1938140,1764317,0
852,2920273,123591,0
853,4778699,1201096,0
854,267534,1380378,0
855,1135603,2685283,1
856,4743153,535280,0
857,4164647,4571277,0
858,3251800,3853574,0
859,142496,2824480,0
860,1353165,2287915,0
861,4721192,3288243,1
862,148935,1140025,1
863,754986,4625985,0
864,3100893,2493630,0
865,1456698,2760565,0
866,3167544,3065172,0
867,1615945,2471103,0
868,923082,3893890,0
869,3615734,3970114,0
870,2299912,1008064,0
871,609330,1397316,0
872,2338838,4834648,0
873,2017826,2903363,0
874,1049150,4124480,0
875,2608376,3824501,0
876,1482666,1660395,0
877,1306100,1678282,0
878,2826278,3611999,0
879,2395078,2721855,0
880,3680790,2927670,0
881,4272458,151153,0
882,3596185,1595754,0
883,370525,4291780,0
884,2226097,1974361,0
885,431391,1102747,0
886,300097,726929,0
887,750926,2586375,0
888,153480,4192365,0
889,3506025,212805,0
890,2452484,2199228,0
891,1233851,3304718,0
892,456126,2103578,0
893,3286368,1614313,0
894,759809,1677060,0
895,3538278,1922398,0
896,783972,4757627,0
897,2085193,3886160,0
898,623444,2262983,0
899,1219418,528928,0
900,1998627,538998,0
901,573693,3400944,0
902,1101947,1959052,0
903,3887171,617576,0
904,4093525,4161490,0
905,1711569,1503250,0
906,1318170,2766614,0
907,2915489,2434223,0
908,4713292,1735687,0
909,4342160,4836932,0
910,563322,1340111,0
911,922949,1049281,0
912,1455727,1967550,0
913,4347727,2401865,0
914,1779478,4553620,0
915,820951,1133567,0
916,1295223,3606238,0
917,234766,1989292,0
918,495684,2052579,0
919,2604474,262528,0
920,4457096,3095483,0
921,3225386,1483950,1
922,3959449,2151517,0
923,2695091,2128045,0
924,2245867,2784159,0
925,1719345,2177982,0
926,3795465,4690299,0
927,2902003,1374445,0
928,1895458,1253026,0
929,888120,888836,0
930,4866498,2486525,0
931,184687,4696690,0
932,2871308,1064883,0
933,552693,4180588,0
934,460696,978745,0
935,3721072,2717219,0
936,242742,637362,0
937,4147170,3324817,0
938,1299015,127123,0
939,833087,907052,1
940,137437,4005148,0
941,2474997,2999710,0
942,4137763,2898182,0
943,475232,3873884,0
944,2519600,3144985,0
945,851486,1253335,0
946,1484675,2555689,0
947,863325,3528798,0
948,865410,2270767,0
949,1588061,4013191,0
950,2975625,2363738,0
951,919101,1522214,0
952,3893222,4116046,0
953,4759359,824031,0
954,3298060,3649303,0
955,1618544,1613382,0
956,2324352,816913,0
957,4499487,3804486,0
958,861461,2833178,0
959,2713798,2885043,0
960,2475214,343584,0
961,2815706,716282,0
962,810494,785119,0
963,3743292,29959,1
964,4022436,2309371,0
965,1576600,3241571,0
966,3164595,727760,0
967,2342340,2371785,0
968,3318025,3258850,0
969,854025,2258576,0
970,3446567,621120,0
971,3067879,2330265,0
972,989455,1268920,0
973,3517389,843636,0
974,2506342,1857594,0
975,863783,4395944,0
976,1632116,1528823,0
977,2359631,4515216,1
978,3317934,3629131,1
979,2932339,2350634,0
980,927463,1514817,0
981,3598083,1721413,0
982,2429371,9946,0
983,1039279,3411931,0
984,2895068,3918393,0
985,1854023,1483116,0
986,725415,2082827,0
987,1202857,1678405,0
988,3689215,1218296,0
989,4528705,1142702,0
990,4034438,711824,0
991,3782034,3556169,0
992,1014721,1666556,0
993,3270580,3395510,0
994,2324422,4426524,0
995,1194190,345813,0
996,2625217,1996375,0
997,2824005,2211339,0
998,1576591,4166917,0
999,380525,4664852,0
1000,3993072,2416078,0
1001,1094048,594102,0
1002,4600134,624993,0
1003,2764263,2893207,0
1004,4177865,2882100,0
1005,4623321,4808386,0
1006,3718908,4679904,1
1007,2745387,3910839,0
1008,3195688,112647,0
1009,1813368,1770441,1
1010,2009930,4758377,0
1011,1787403,2443214,0
1012,4726874,1894531,0
1013,127950,3728341,0
1014,3794842,3706176,1
1015,3296250,3535207,1
1016,4811622,757734,0
1017,3683564,2701054,0
1018,1283657,689821,0
1019,3836659,4321162,1
1020,1488401,3872415,0
1021,31098,1030864,0
1022,2451660,1970291,1
1023,718458,3720766,0
1024,2002799,4114575,0
1025,2005497,2338090,0
1026,2118551,3452067,0
1027,3778796,254059,0
1028,4348766,3973930,0
1029,3475909,1973662,0
1030,240027,3855745,0
1031,4263251,2518627,0
1032,942440,2191992,0
1033,850459,456126,0
1034,3716119,3025121,0
1035,988417,1104604,0
1036,5221,2981668,0
1037,2021460,243830,0
1038,4774646,1196225,0
1039,2435515,143446,0
1040,3941703,211323,0
1041,651778,2540894,0
1042,477326,3487516,0
1043,3861672,3647364,0
1044,4749201,2707342,0
1045,1255094,3818809,0
1046,437391,1021368,0
1047,4817391,4563454,0
1048,3910665,3985168,0
1049,1150281,4486106,0
1050,4858996,1582222,0
1051,4204662,2133364,0
1052,3656099,1380448,0
1053,4788248,2048276,0
1054,4716646,448823,1
1055,2844962,2757201,0
1056,2161230,2087517,0
1057,3808182,3103806,0
1058,419149,4406065,0
1059,3847967,357466,0
1060,987441,824382,0
1061,4762542,2767142,0
1062,2914647,4841268,0
1063,1275299,1593758,0
1064,3757241,3248594,0
1065,219686,2015738,0
1066,3249932,1068993,0
1067,2704231,3435043,0
1068,2691310,3640458,0
1069,2581947,3759750,0
1070,1689039,3927655,0
1071,2694816,2207956,0
1072,4405100,2051732,0
1073,3352123,3510148,0
1074,2584682,3162385,0
1075,2680834,4254453,0
1076,3202510,2092295,0
1077,4468086,532755,0
1078,575651,4258315,0
1079,2883988,824046,0
1080,4008358,4483821,0
1081,2939315,3155408,0
1082,4839526,3833152,0
1083,3507863,177506,0
1084,4619061,4289016,0
1085,4380434,3731768,0
1086,3213547,2706025,0
1087,4094697,212805,0
1088,1927960,1579810,0
1089,2640387,100754,0
1090,3852854,3785477,0
1091,1700836,350886,0
1092,871160,3340066,0
1093,2772925,2456239,0
1094,1548013,1078672,0
1095,2242956,3882590,0
1096,3603630,3489034,0
1097,1064556,3912526,0
1098,19760,5113,0
1099,740005,4510860,0
1100,4765846,605639,0
1101,2609436,653633,0
1102,2766747,321857,0
1103,4094066,1628264,0
1104,1246601,1897862,0
1105,4232521,2779791,0
1106,2554658,3240496,0
1107,415254,3129186,0
1108,4400995,1187964,0
1109,2850445,1118530,0
1110,3729828,2294440,0
1111,3370783,4790649,1
1112,3001815,74323,0
1113,3394828,2633571,0
1114,117653,1995601,0
1115,1675257,4723059,0
1116,3897513,733605,0
1117,19484,749672,0
1118,4284282,4516132,0
1119,833524,3841591,0
1120,3879365,4329629,0
1121,4251792,57883,0
1122,2835662,2379122,0
1123,2313654,3448488,0
1124,3800305,4420839,0
1125,399565,2956791,0
1126,579536,3165162,0
1127,225697,982493,0
1128,457555,1106852,0
1129,4857001,321177,0
1130,4655006,1987945,0
1131,3163774,3004014,0
1132,4498101,2926541,1
1133,2807375,3247071,0
1134,3222303,1081619,0
1135,4736009,1835245,0
1136,401959,2653845,0
1137,813047,3009562,0
1138,2899933,536723,0
1139,4154717,2424452,1
1140,1413512,3299579,0
1141,2940424,1904054,0
1142,602340,107996,0
1143,1011757,3739100,1
1144,940042,4253433,0
1145,3905250,452890,0
1146,3066444,685095,0
1147,1325436,3202770,0
1148,125872,1465269,0
1149,3407905,765543,0
1150,2623580,2337217,0
1151,4211984,2596286,0
1152,2349594,959247,0
1153,2061150,3837284,0
1154,1399058,1796644,1
1155,12547,957725,0
1156,2361673,2593954,0
1157,3305322,3169329,0
1158,702865,166306,0
1159,4311665,2499401,0
1160,4052122,2588244,0
1161,2187451,3356265,0
1162,2544398,4360802,0
1163,1164032,4779044,0
1164,4125905,723257,1
1165,3169284,2502590,0
1166,1360006,475380,0
1167,3158482,4350093,1
1168,3082677,3108490,0
1169,3139086,4343940,0
1170,1044619,1269131,0
1171,2390374,4143831,0
1172,4779046,4399430,0
1173,4420475,2868440,1
1174,815236,2155768,0
1175,1676054,2238637,1
1176,842454,1847353,0
1177,153792,778021,0
1178,336290,87195,0
1179,2410512,3528096,0
1180,3185337,1129762,0
1181,4086406,4539579,0
1182,4174741,1729680,0
1183,1429183,19269,0
1184,1479088,3296983,0
1185,4139326,1040056,0
1186,4311720,3703326,0
1187,322366,3277122,0
1188,2153824,4079268,0
1189,3690840,3870459,0
