0,source,sink,in_degree_b
563,1625926,1323604,36
564,1057767,2106810,114
565,4360797,2567319,84
566,4501001,3747641,4
567,3979814,1383065,17
568,3958498,3400119,12
569,4472613,4782942,55
570,2826552,1851929,13
571,3930113,1969392,2
572,4071650,1967153,2
573,848450,1311163,904
574,4421038,4236120,337
575,2924011,378360,24
576,2216079,1058463,45
577,2619921,2243004,10
578,3401659,867777,1
579,4850825,846953,100
580,4627451,2979388,437
581,4455263,1253026,549
582,2366247,2506073,34
583,2167353,1201942,1
584,3727094,2061597,24
585,4307670,4579336,11
586,2720575,4595178,24
587,3507605,3898713,348
588,4300146,1860277,1
589,277097,664372,16
590,3454316,355653,229
591,4804889,1258662,1087
592,4531017,4813904,1
593,3732480,3733752,400
594,2914647,4152370,14
595,1604519,4809986,67
596,3907690,4007453,333
597,2670017,1805044,662
598,255712,861508,65
599,824841,1324381,3
600,1075138,1095215,1
601,4549427,1689039,573
602,3348381,2086336,106
603,2292299,1621542,23
604,1317354,3054311,2
605,4702057,2922419,87
606,4789062,875708,38
607,3196320,4741885,15
608,243028,3158766,19
609,3200179,1242327,1769
610,2376306,4249861,155
611,1122024,3271567,13
612,3852135,3266102,1
613,4032122,1949143,1
614,3223920,3378708,4
615,2239712,4041512,3
616,1152111,3955212,19
617,2438138,4405443,98
618,1182125,2016362,77
619,4825117,3226188,75
620,4509053,4614759,34
621,954783,4107041,37
622,2694897,4221994,16
623,1459605,355183,10
624,3957243,41215,28
625,4392240,4670924,84
626,4662222,627979,130
627,1772618,2517958,165
628,3507605,3743087,48
629,2988110,306066,15
630,3460470,2914869,1468
631,4724928,3081689,46
632,2357765,123020,71
633,4503243,2503081,7
634,1395639,905235,83
635,2163840,1487443,21
636,1173867,1594195,105
637,2990719,247965,3
638,4334594,4672164,21
639,3175677,4294132,21
640,3154897,3743287,3
641,2380033,823904,148
642,2204209,2393,71
643,3204489,2021656,155
644,46347,4105798,3
645,1546131,1476256,144
646,4832741,3628271,2
647,230959,3056188,8
648,803117,514516,18
649,2728019,2857848,169
650,1101391,3302218,27
651,2629332,1739999,3
652,3196935,1226698,8
653,3545915,1760349,14
654,467020,3890374,16
655,3283449,833637,127
656,2684857,3394755,7
657,1310076,970851,9
658,324700,4458047,440
659,3455337,759828,672
660,1469417,82340,1130
661,2945451,2873928,8
662,47367,2619824,6
663,1975212,3490790,133
664,2500159,1007714,10
665,3403476,1454600,3
666,2048,3986213,6
667,4501695,1127019,29
668,2205192,2295414,75
669,2354150,3239759,195
670,4383563,1174,187
671,475933,4833712,24
672,4782926,3536565,903
673,4487677,4825406,148
674,4327965,1331438,7
675,1550721,2116162,56
676,2517457,1728898,54
677,1838574,4098262,36
678,4612771,3288555,23
679,642996,3506813,8
680,2557232,564584,30
681,4223610,3482459,2
682,1769495,2395183,3
683,782197,2194084,1592
684,1770200,2516884,17
685,4031633,4588297,28
686,1470412,4422560,2
687,1775497,3613127,25
688,1824620,2651938,29
689,1279839,1677752,175
690,4132752,404449,20
691,4448187,4748339,30
692,491128,4657499,36
693,2560508,3925409,2
694,104236,3605785,44
695,4700248,663112,1
696,2629845,4456828,94
697,1570585,331274,60
698,2852734,324237,100
699,1041665,1229102,189
700,3715323,3549444,84
701,638553,2757877,162
702,4836716,3354830,247
703,4017320,922747,58
704,1459605,3415082,9
705,3303902,2181529,791
706,3674345,3378280,1064
707,1726836,4480898,1
708,3806390,1976038,190
709,878442,4036279,317
710,3595486,2643790,1
711,420410,2867013,202
712,803951,2242566,10
713,3628696,3853365,7
714,2616335,2908614,2
715,1981986,4035202,7
716,3054430,1057861,1
717,4334594,3051327,649
718,4812944,3535207,299
719,2674631,1867538,1
720,2942785,1035309,1
721,1335561,1909814,33
722,306263,2130956,2
723,201208,951008,3
724,2740508,1609914,119
725,4153888,4755721,278
726,2452515,1716535,5
727,4751661,1206612,2
728,3182725,2251944,1
729,4329998,3123735,8
730,4246368,4607134,144
731,4306984,31402,10
732,987441,4503707,31
733,1991608,2364292,62
734,4300700,4266500,1
735,4498960,2930986,1882
736,3102958,2181529,791
737,1515040,797189,87
738,885070,2221607,381
739,3011316,3884937,4
740,1213594,4105851,113
741,2305935,678890,1
742,1006164,1656495,43
743,3011799,1673519,58
744,1667129,4633379,1
745,617629,1105588,105
746,926720,3307114,109
747,565577,4336035,14
748,126887,752827,1
749,2840784,3061859,170
750,1192675,4205790,50
751,1947457,179198,1
752,984342,3491166,51
753,3049221,4031243,1
754,4859244,164230,7
755,2461340,1258551,1
756,3623046,3129979,27
757,2682807,3198660,13
758,4274919,4523540,94
759,2222560,2473200,284
760,730935,3142497,3
761,4304731,1992367,62
762,3522361,4607737,266
763,2350820,2084576,1
764,2109685,3573818,1
765,3097821,1993893,344
766,3580033,4322839,993
767,4062909,416502,6
768,207617,1986693,103
769,3182466,3045735,9
770,879908,1994245,9
771,4315961,2089841,5
772,4696456,2450580,330
773,1922327,2208559,4
774,1086861,4114260,163
775,3101866,1973521,5
776,1389250,1202352,6
777,3156079,1084494,221
778,1768567,1239673,49
779,3462030,3040850,1
780,2152175,3386770,94
781,4551087,2858575,2
782,3249150,193283,4
783,2681125,4157835,705
784,1970075,4146791,818
785,456376,3282684,2
786,2250754,3054105,241
787,95788,127780,307
788,2925348,2742304,4
789,1049150,1483273,2
790,2486379,1429344,173
791,2326042,575926,236
792,3110933,3438089,42
793,1846616,3866982,1
794,2871577,259324,8
795,3725944,4668743,1
796,3266143,1054633,3654
797,3982958,4028169,1
798,2763196,4737099,40
799,1666632,2920024,2
800,718458,4615321,1
801,5089,328448,65
802,2912719,2979388,437
803,4532884,2397948,52
804,2487570,1271488,40
805,2210034,2685425,17
806,1204176,3775387,50
807,3993419,1458675,2
808,4767918,2302691,266
809,3803252,3698779,31
810,1292292,3865282,60
811,4091650,1529244,3
812,446032,2154457,192
813,4649516,2209103,6
814,3695509,65638,601
815,148935,4811932,18
816,886108,905765,6
817,1190951,4690782,2
818,3626245,1962035,69
819,1948085,1846065,8
820,2482350,2278610,63
821,2962254,2827901,9
822,2332217,3185052,7
823,3297316,2057510,405
824,2416046,1105588,105
825,426668,4631936,107
826,496868,105246,2
827,3034565,1821811,24
828,4606514,907012,2
829,4274057,4538199,6
830,3107357,1742303,7
831,4538043,3575682,194
832,3656366,2979261,14
833,4396298,2826632,345
834,16594,1646682,5
835,143220,3494535,60
836,807742,2493146,16
837,771710,4806172,9
838,3204376,2359631,749
839,3915080,2966620,2
840,3249409,4419768,11
841,680507,2053301,13
842,2844764,2094403,4
843,2136096,1598748,4
844,2704117,3935784,30
845,3053000,1212931,9
846,4503555,1271150,14
847,4505818,1411178,263
848,3126141,3797741,88
849,1653827,716887,3
850,1746167,1710765,6
851,515975,2133291,88
852,3981319,1616341,77
853,212575,78001,32
854,4727351,2334645,76
855,4306542,3737446,1
856,4238620,1854886,22
857,1473900,3584952,533
858,3526712,3873655,186
859,776837,2031470,53
860,1781994,221130,55
861,4157407,2041684,68
862,3387380,3382309,3
863,4771179,3918609,17
864,3077171,2242021,1
865,3126141,1105233,292
866,3094990,4601392,61
867,992746,1789434,12
868,974241,3572636,3
869,1327440,1466192,3
870,471105,1986462,8
871,4367141,1803707,17
872,3007021,298105,127
873,3508770,3716870,17
874,1605266,4345411,8
875,4414997,2763539,2
876,3815718,965233,64
877,4558718,4477346,7
878,478181,2638176,79
879,4446498,910551,6
880,2481722,4732326,4
881,1481434,1938916,62
882,1632644,2921116,39
883,4382423,3617572,305
884,2075441,3184771,2
885,4170583,4072550,1
886,1961152,4745890,18
887,2356085,3778486,1
888,2588017,3596547,55
889,2868212,685256,119
890,370525,3929021,93
891,3089257,4098923,7
892,2457642,4387555,42
893,2779887,1742444,205
894,2598272,717002,1752
895,499530,4758605,142
896,2654094,778360,3
897,1998202,3119624,127
898,1813608,2662345,17
899,483345,2826679,26
900,3587474,1836534,1
901,4843491,1000598,136
902,1345474,1993893,344
903,276809,1338578,9
904,2049302,3273890,197
905,4235225,1728318,5
906,2422272,3054246,166
907,4759196,110553,3
908,229913,4413218,8
909,1891154,1504106,132
910,1467477,2408564,6
911,1969873,2716022,39
912,4020444,4211497,1
913,101838,1005164,1
914,1220741,1756761,52
915,4357167,1938570,238
916,115942,187940,7
917,76713,3621559,288
918,3647690,3642981,1
919,2633049,77035,37
920,4589303,2337648,19
921,1435516,2315226,19
922,999685,2648425,1
923,264520,2210890,6
924,558571,2475440,174
925,1024777,910755,596
926,858905,843636,265
927,4047213,3572447,151
928,1060441,463043,2
929,1049970,3078305,93
930,2610005,82301,99
931,2578445,2742606,1338
932,4275718,2790099,247
933,35842,1840959,1
934,4617371,1145730,23
935,2292098,3037900,94
936,4439696,4060999,5
937,3226838,4052990,1337
938,2607301,4279936,4
939,995486,94427,2
940,3190499,3577652,2
941,1131513,4222791,5
942,1487867,290241,2
943,4795640,3439420,5
944,1677935,777501,21
945,3003773,3965125,2
946,3638601,4159902,221
947,4091571,2057832,227
948,3454963,4167373,464
949,3044039,3823404,54
950,4225721,2949748,1045
951,3903454,4204989,9
952,3101181,1600897,84
953,4292767,4200228,6
954,1828452,282738,1748
955,3230665,4413559,110
956,932451,1692815,9
957,4279761,3434826,96
958,2640762,750770,5
959,4698322,1480185,751
960,2482350,4523961,44
961,1726152,4086068,5
962,3857721,2363392,512
963,301221,3137409,48
964,1735883,1347462,50
965,635924,3980791,1
966,2496573,4143220,1
967,4207066,4552885,54
968,20295,1324992,2466
969,282738,238014,455
970,4248813,1322227,3
971,2899375,1634098,146
972,4440444,4411289,2
973,153430,4176442,1
974,2525847,2597519,7
975,1153580,68695,373
976,4816163,1552199,1
977,1204056,4134951,1
978,1507776,4625867,38
979,3862160,927107,4
980,631029,3085310,6
981,3292145,1696837,1075
982,1986922,785893,103
983,727535,3439201,248
984,2509282,4179348,1
985,2003319,1715065,18
986,3832954,46710,8
987,2060035,1346024,2
988,908170,351962,3
989,2796817,1603275,341
990,163643,2882296,162
991,1824620,3885455,1
992,1439892,1324992,2466
993,2257028,3557291,4
994,1068926,1958906,72
995,2486987,3279494,138
996,1322268,4390465,417
997,2420317,4746757,1
998,3234711,3773437,267
999,3493966,4527536,21
1000,17245,1014944,195
1001,3619046,1255074,51
1002,353855,33773,18
1003,3372039,2242816,224
1004,1243355,3135593,22
1005,3761317,76667,24
1006,540178,2065999,11
1007,1761173,2900702,8
1008,806785,4345803,3
1009,520136,851237,58
1010,92356,4400515,1353
1011,1828246,473043,54
1012,2173151,1024777,85
1013,4245940,3905926,12
1014,3254161,3344278,138
1015,1919222,4847918,2951
1016,2876679,2649220,1
1017,2685708,350314,4
1018,3037471,3351610,1
1019,1489738,2823434,3
1020,1035595,3177976,439
1021,2767461,4374620,25
1022,4299096,1242327,1769
1023,1175602,3650803,499
1024,3997449,541721,223
1025,4220227,888836,1743
1026,1888430,4164656,83
1027,3630094,4093593,34
1028,3260897,2059398,3
1029,3458359,551685,96
1030,998253,1334906,27
1031,4564989,2138288,105
1032,4413315,3152924,45
1033,3044039,856916,554
1034,1865377,4636019,139
1035,606761,2658818,6
1036,2508178,197603,46
1037,1590882,3799335,107
1038,4479178,3337311,42
1039,3042121,4022981,8
1040,1222767,1337901,131
1041,189137,3707350,398
1042,4564947,3539593,220
1043,4661198,1565469,1637
1044,2921853,1665942,2
1045,4348766,4716721,279
1046,754491,3606387,2
1047,1961849,3649320,26
1048,1691903,651795,7
1049,4310719,4767700,124
1050,635907,2502797,32
1051,760911,3860178,62
1052,3862160,1389180,25
1053,132853,4125302,54
1054,811239,1187817,4
1055,1055988,547593,116
1056,4595673,1373036,43
1057,1429183,4156017,1
1058,2675276,4522292,38
1059,1152111,4454737,250
1060,3885342,2744082,1
1061,4461671,614029,234
1062,17660,260714,1
1063,4243983,1346688,122
1064,3422310,3605635,30
1065,4257630,784418,1
1066,2604474,772396,29
1067,66062,2390617,225
1068,2299928,2733212,2
1069,1250650,288350,1
1070,481068,4396743,65
1071,2468519,4211728,5
1072,2006237,3426063,2
1073,1869476,4651416,782
1074,426011,1305670,101
1075,886710,781813,5
1076,4311290,2932236,442
1077,4093168,601456,12
1078,849848,598842,23
1079,4163280,4835007,12
1080,665522,716943,44
1081,4587860,3812837,58
1082,4074289,4168492,3
1083,3529930,2507173,4
1084,529453,3294213,1
1085,3110854,528835,76
1086,1855038,3533203,40
1087,1255620,3579983,67
1088,789821,873406,3
1089,3832051,1403567,53
1090,3259436,1583704,203
1091,3300111,3166123,44
1092,4721805,389312,1
1093,4161118,518238,55
1094,378799,4441914,1
1095,1851286,615740,85
1096,3953029,1232081,118
1097,4095099,4020896,80
1098,3634165,3042674,96
1099,2808502,2835494,90
1100,4628181,1968517,31
1101,434593,3870424,147
1102,2833758,237574,11
1103,4136514,2567418,7
1104,4317947,1488971,40
1105,4002172,3642884,269
1106,376424,847450,33
1107,1551687,3161152,53
1108,1452253,2979388,437
1109,4342778,94321,116
1110,3265042,1663756,468
1111,980606,790371,7
1112,3605497,1194830,2
1113,3750870,4272176,64
1114,2821319,115485,66
1115,4415048,4359993,1
1116,4472299,3026070,421
1117,1289611,4287035,47
1118,1611864,4308170,33
1119,568741,2162676,1
1120,2013055,3596406,6
1121,1799556,3377837,12
1122,3917977,4069212,13
1123,1026187,2604044,20
1124,3036197,859642,761
1125,4624816,1352043,51
1126,2301621,104263,6
1127,4469001,1122560,407
1128,4721192,2498962,106
1129,1136345,614016,299
1130,482013,3961686,39
1131,2057720,1483713,8
1132,3193210,663337,10
1133,3287864,3583627,42
1134,3269084,3383275,1
1135,1901271,1649146,2
1136,1677157,1586085,8
1137,986914,4659074,309
1138,2332783,3296169,1
1139,24392,44172,211
1140,3748195,2253113,254
1141,2533991,136400,426
1142,3733107,4641993,1
1143,4653515,4614066,214
1144,82116,1843902,14
1145,43778,256508,8
1146,3362288,2544271,2914
1147,311061,1427563,190
1148,1659324,4063437,8
1149,3752981,4793879,103
1150,4797950,2870890,10
1151,1824620,2036744,116
1152,2210458,4679490,2
1153,3278257,239096,15
1154,855404,1917515,1
1155,2940560,990148,90
1156,799760,3982403,98
1157,215004,3019723,100
1158,3898489,564844,14
1159,1688194,2846928,1
1160,2767192,2361673,19
1161,445710,918380,10
1162,1226964,3554524,1805
1163,3940380,3357571,5
1164,1153580,2947169,20
1165,349903,3780684,6
1166,613280,2243013,65
1167,3184581,2878646,137
1168,2955992,1644012,16
1169,2759934,4640798,10
1170,4830164,3710419,285
1171,3857652,862613,123
1172,283112,1663756,468
1173,2025383,1723144,10
1174,4795474,3240496,139
1175,2870198,4176958,7
1176,624050,3741140,5
1177,3030182,3395,2
1178,1175901,3686450,46
1179,1518924,461260,7
1180,2863758,2645519,2
1181,495657,1385412,28
1182,1894511,1652009,20
1183,2174930,3024022,134
1184,317075,4451637,7
1185,4738635,2192485,868
