0,source,sink,common_neighbour
488,550624,1332575,26
489,3206394,2933565,3
490,3940380,3051327,11
491,273164,1413055,33
492,1957538,4839138,0
493,2749267,3859663,2
494,173719,2037535,0
495,384254,3003794,24
496,410127,290758,0
497,2586954,1166818,0
498,172972,4299050,0
499,2422604,909677,0
500,4326329,732416,0
501,3476921,4329139,53
502,2346396,3113197,0
503,1397316,1548423,0
504,4590349,4475906,12
505,4462368,1729215,56
506,1327440,2866511,0
507,505918,80983,1
508,1041665,246307,1
509,1619831,4149096,0
510,1602676,4821149,0
511,4498800,2530095,0
512,1220744,2494359,8
513,3216894,2917270,0
514,823636,3470096,1
515,2464404,2214631,3
516,2225928,937883,0
517,3874174,3660958,0
518,4510312,4641648,6
519,1772905,1164032,1
520,497126,1813537,0
521,3956535,1366076,0
522,311395,4517546,1
523,691053,2551093,1
524,1202094,4419310,1
525,2511862,702114,2
526,1537593,3531111,21
527,1809060,2755105,0
528,4561995,4101406,12
529,1183256,851822,52
530,2259583,180886,1
531,617956,2413499,16
532,1294163,515021,1
533,2063062,1342577,5
534,1800416,2888042,0
535,4691181,4610787,0
536,1834142,3836704,5
537,949172,2071647,1
538,2536161,4132261,85
539,625451,3547349,90
540,2290078,107998,0
541,3494888,248970,0
542,268519,2884416,0
543,158115,4633431,70
544,4699529,317786,34
545,3256646,751974,1
546,3725632,731420,0
547,2171358,4477620,1
548,931647,1765411,2
549,2744198,3642845,1
550,1765731,1258166,1
551,2649630,1742482,16
552,1641756,2486979,26
553,4036817,1703634,0
554,3849807,2866908,0
555,1167211,1840412,95
556,4766814,3298954,10
557,947762,3341056,0
558,3136926,4534450,0
559,3730870,3175312,6
560,2690278,3761780,16
561,2058283,8356,0
562,2646810,4575002,0
563,3633833,2573172,3
564,4247331,82320,14
565,3983042,2701676,7
566,2093176,2186222,0
567,1412983,2528294,8
568,3920505,4846084,7
569,3320046,4335591,0
570,1262238,1048746,0
571,3059183,1766159,28
572,1495241,4548619,4
573,3717996,3452178,10
574,908046,458466,2
575,319732,3806748,1
576,748200,1665032,0
577,856916,2741764,92
578,2695621,4579955,83
579,4016649,3678951,9
580,3699726,4642092,0
581,4599604,1537367,26
582,4323755,1211774,2
583,117178,2785207,7
584,2934603,2472584,33
585,1432887,2529373,1
586,4493215,2784278,0
587,4159232,4217711,15
588,3756910,1193087,50
589,1648871,4590454,0
590,4458811,3019604,105
591,3148390,2002788,0
592,769445,2986095,0
593,4542296,4029056,6
594,3097604,4305969,43
595,3135278,1898689,17
596,3490385,2303097,0
597,2880138,1230311,2
598,1799854,1094216,0
599,3441024,3198893,0
600,1712592,256053,43
601,1213060,3485270,0
602,674419,1687481,0
603,2253113,4199739,10
604,1687100,4699308,21
605,1687914,1492115,0
606,4467644,4597686,5
607,1287150,4587728,1
608,885888,2401150,0
609,4059232,1934540,42
610,2167353,2927967,1
611,2431787,2243309,27
612,4066935,3061931,17
613,2912103,2616761,0
614,1451983,4398710,0
615,1760195,3815591,0
616,1268923,4185459,2
617,3584579,4561007,0
618,3210823,4593452,0
619,2679215,4079576,0
620,3308965,1499488,3
621,1308257,1360090,0
622,4556619,524247,1
623,3464435,3158801,2
624,4834181,1615948,0
625,4548696,2910685,4
626,1486569,380005,2
627,1221273,4569835,0
628,1504438,1269021,6
629,273892,4626132,1
630,4312824,3833152,2
631,2240718,1337977,0
632,1187945,4097285,11
633,1628691,4570236,2
634,3764155,1080529,1
635,2259251,4196528,1
636,2299390,1491019,0
637,1049492,398291,24
638,233391,2965375,0
639,717673,3995418,17
640,2941407,2964315,3
641,682761,1558128,1
642,4352101,697201,2
643,4239933,2533625,0
644,1068581,2394046,7
645,1176065,3366522,1
646,2913818,4272458,11
647,4159234,597760,0
648,4818958,708203,0
649,3192626,1092178,1
650,3438286,4629375,3
651,879908,4254453,0
652,1954387,610672,0
653,1452,3373263,0
654,4207021,606980,0
655,1413126,2746611,0
656,3149884,128838,0
657,2598830,299664,0
658,3017206,948009,8
659,970600,2125683,3
660,1211741,4121054,0
661,2835234,570107,16
662,675370,1471569,1
663,4610268,1275066,0
664,1584806,1092555,0
665,2904717,762869,0
666,3892708,1170664,17
667,3976780,1552898,1
668,1808958,3153165,14
669,3293844,282738,0
670,2027803,2619844,1
671,250137,2976917,0
672,4418160,3626136,69
673,3372601,3785031,0
674,3318630,701503,95
675,3961269,303000,1
676,1978642,1969680,8
677,1285540,3833101,0
678,4399173,2631408,1
679,1225417,3677077,0
680,1917370,970119,0
681,716749,4720136,0
682,2164938,2616090,0
683,4021250,1378011,64
684,1898939,2124762,0
685,725231,2353568,0
686,1072647,2289244,0
687,3316884,1440533,0
688,2308616,4597182,1
689,2468610,1173627,0
690,4280660,4011543,0
691,4358480,2619379,3
692,4247587,4266094,12
693,1362833,4644467,7
694,4849080,384166,0
695,2933517,1722935,3
696,251110,4829418,0
697,3046801,4326881,0
698,3300747,409240,0
699,2205989,736972,7
700,4759196,2959134,0
701,352777,1582441,9
702,4732444,4677915,1
703,1450478,3800540,0
704,3345046,4255985,0
705,807609,2070084,61
706,1893341,2401643,2
707,3968198,1413750,7
708,3502346,4395778,18
709,3424526,865480,4
710,3997092,847152,0
711,871619,88771,1
712,3591727,4128045,1
713,812874,2576794,0
714,2967237,819090,2
715,2683846,1765869,0
716,3933860,4187117,0
717,3755255,3173162,8
718,4479676,2054407,0
719,1092129,4740893,39
720,2978353,487236,0
721,2831459,3748022,1
722,1861711,3429791,17
723,128268,3306286,0
724,4447307,3657540,1
725,4583130,4195270,8
726,1903802,3756910,75
727,1226964,4506897,3
728,4122877,478112,2
729,3531100,4818685,1
730,4722544,1565469,5
731,492776,2057832,6
732,202406,1370056,0
733,739365,4478927,0
734,3130360,3381180,0
735,3971343,774221,0
736,1639225,497594,21
737,3080878,3107755,0
738,314720,466302,2
739,4074945,67911,0
740,4627005,3010945,4
741,3763328,2178305,10
742,265346,3088232,400
743,3446384,679574,26
744,887938,3994705,0
745,3223920,2516690,2
746,4858799,4350911,1
747,4510458,1127255,9
748,2270094,2546813,0
749,4060750,2393523,5
750,4282575,3861442,0
751,3251045,3297002,11
752,3031208,664506,17
753,3434262,3173953,0
754,2226291,4082571,0
755,2032980,4096612,13
756,4143745,683678,0
757,2220133,979255,22
758,552690,1513515,6
759,2089216,4666032,0
760,734968,4266986,0
761,748396,3222295,0
762,3473274,4010152,12
763,401726,1700117,23
764,4205304,4326349,2
765,713973,3737538,0
766,268979,3902256,0
767,1774406,2445713,1
768,1566271,3727886,0
769,1747009,542316,4
770,3760607,1428975,0
771,2062066,3937192,1
772,2469227,2769934,0
773,463854,2442529,32
774,3369814,1205255,0
775,268091,1807947,0
776,3561896,257577,12
777,4181239,2507601,0
778,745210,3851609,1
779,4247950,4173475,1
780,4611286,3527826,0
781,3094990,3311965,1
782,4459514,1633484,0
783,2814285,4198583,20
784,2152778,2815618,10
785,9202,1609289,6
786,2858107,3025604,8
787,3881850,3284336,0
788,1200874,703387,0
789,1730864,4776931,8
790,1976020,3906437,3
791,3478937,4411245,9
792,2606468,2151625,0
793,810847,3601552,0
794,2518054,3994251,10
795,4730476,3723065,24
796,2675276,1802531,1
797,274343,996371,1
798,3650803,3477517,3
799,1159131,3007594,6
800,4660393,1063328,1
801,1430292,3755407,0
802,4855215,3292438,1
803,155341,4215650,1
804,4791237,668241,7
805,504848,1473701,5
806,812688,440093,1
807,1218819,4522612,0
808,904699,3825480,2
809,3371729,3273144,6
810,2518902,2524567,3
811,2608048,891969,0
812,133167,3827835,1
813,1735998,2685390,1
814,1851023,2661301,1
815,4223007,4651979,40
816,2978385,4096612,33
817,2982118,2890172,33
818,1985096,3281495,0
819,2872865,772280,0
820,1730546,2700195,0
821,3759171,3267798,0
822,1474194,1736248,14
823,136049,1205898,0
824,779856,2791664,0
825,2976069,2589511,7
826,56121,3118599,0
827,752326,4027234,1
828,1129405,1073098,0
829,4219582,352759,1
830,67800,1774334,40
831,1562061,3275980,0
832,4469172,3056997,8
833,1632644,2747148,3
834,2103452,2394094,0
835,1792282,1275575,0
836,2337068,2777919,37
837,383188,487074,0
838,3624273,1694426,2
839,1927607,3784976,1
840,2564846,3871166,0
841,469289,3658913,4
842,3579512,3070342,0
843,3609789,1916723,19
844,1005255,2558769,1
845,4820881,4005729,0
846,2666350,3968888,26
847,979653,1836007,5
848,3156444,3459373,1
849,3454223,3088232,13
850,1691726,1990675,0
851,1938140,1764317,0
852,2920273,123591,0
853,4778699,1201096,0
854,267534,1380378,0
855,1135603,2685283,14
856,4743153,535280,1
857,4164647,4571277,14
858,3251800,3853574,13
859,142496,2824480,0
860,1353165,2287915,4
861,4721192,3288243,22
862,148935,1140025,22
863,754986,4625985,1
864,3100893,2493630,0
865,1456698,2760565,0
866,3167544,3065172,15
867,1615945,2471103,0
868,923082,3893890,0
869,3615734,3970114,0
870,2299912,1008064,24
871,609330,1397316,10
872,2338838,4834648,2
873,2017826,2903363,7
874,1049150,4124480,23
875,2608376,3824501,2
876,1482666,1660395,59
877,1306100,1678282,0
878,2826278,3611999,1
879,2395078,2721855,1
880,3680790,2927670,15
881,4272458,151153,1
882,3596185,1595754,4
883,370525,4291780,16
884,2226097,1974361,0
885,431391,1102747,0
886,300097,726929,1
887,750926,2586375,18
888,153480,4192365,1
889,3506025,212805,13
890,2452484,2199228,1
891,1233851,3304718,5
892,456126,2103578,2
893,3286368,1614313,0
894,759809,1677060,0
895,3538278,1922398,0
896,783972,4757627,0
897,2085193,3886160,0
898,623444,2262983,1
899,1219418,528928,3
900,1998627,538998,0
901,573693,3400944,2
902,1101947,1959052,1
903,3887171,617576,7
904,4093525,4161490,0
905,1711569,1503250,0
906,1318170,2766614,2
907,2915489,2434223,1
908,4713292,1735687,0
909,4342160,4836932,0
910,563322,1340111,32
911,922949,1049281,0
912,1455727,1967550,1
913,4347727,2401865,9
914,1779478,4553620,0
915,820951,1133567,60
916,1295223,3606238,0
917,234766,1989292,22
918,495684,2052579,1
919,2604474,262528,29
920,4457096,3095483,0
921,3225386,1483950,84
922,3959449,2151517,0
923,2695091,2128045,0
924,2245867,2784159,0
925,1719345,2177982,4361
926,3795465,4690299,0
927,2902003,1374445,0
928,1895458,1253026,2
929,888120,888836,133
930,4866498,2486525,5
931,184687,4696690,11
932,2871308,1064883,0
933,552693,4180588,9
934,460696,978745,0
935,3721072,2717219,2
936,242742,637362,11
937,4147170,3324817,8
938,1299015,127123,45
939,833087,907052,51
940,137437,4005148,0
941,2474997,2999710,0
942,4137763,2898182,0
943,475232,3873884,0
944,2519600,3144985,1
945,851486,1253335,0
946,1484675,2555689,5
947,863325,3528798,1
948,865410,2270767,44
949,1588061,4013191,13
950,2975625,2363738,1
951,919101,1522214,0
952,3893222,4116046,0
953,4759359,824031,0
954,3298060,3649303,0
955,1618544,1613382,0
956,2324352,816913,88
957,4499487,3804486,0
958,861461,2833178,1
959,2713798,2885043,1
960,2475214,343584,1
961,2815706,716282,22
962,810494,785119,0
963,3743292,29959,9
964,4022436,2309371,2
965,1576600,3241571,13
966,3164595,727760,0
967,2342340,2371785,0
968,3318025,3258850,3
969,854025,2258576,0
970,3446567,621120,22
971,3067879,2330265,5
972,989455,1268920,0
973,3517389,843636,12
974,2506342,1857594,1
975,863783,4395944,9
976,1632116,1528823,0
977,2359631,4515216,23
978,3317934,3629131,26
979,2932339,2350634,0
980,927463,1514817,0
981,3598083,1721413,11
982,2429371,9946,0
983,1039279,3411931,0
984,2895068,3918393,0
985,1854023,1483116,1
986,725415,2082827,1
987,1202857,1678405,1
988,3689215,1218296,2
989,4528705,1142702,12
990,4034438,711824,0
991,3782034,3556169,1
992,1014721,1666556,0
993,3270580,3395510,0
994,2324422,4426524,1
995,1194190,345813,1
996,2625217,1996375,0
997,2824005,2211339,0
998,1576591,4166917,2
999,380525,4664852,0
1000,3993072,2416078,4
1001,1094048,594102,7
1002,4600134,624993,0
1003,2764263,2893207,0
1004,4177865,2882100,3
1005,4623321,4808386,67
1006,3718908,4679904,77
1007,2745387,3910839,0
1008,3195688,112647,2
1009,1813368,1770441,154
1010,2009930,4758377,11
1011,1787403,2443214,0
1012,4726874,1894531,0
1013,127950,3728341,7
1014,3794842,3706176,19
1015,3296250,3535207,134
1016,4811622,757734,26
1017,3683564,2701054,4
1018,1283657,689821,17
1019,3836659,4321162,31
1020,1488401,3872415,85
1021,31098,1030864,5
1022,2451660,1970291,3
1023,718458,3720766,0
1024,2002799,4114575,14
1025,2005497,2338090,0
1026,2118551,3452067,0
1027,3778796,254059,5
1028,4348766,3973930,0
1029,3475909,1973662,0
1030,240027,3855745,52
1031,4263251,2518627,1
1032,942440,2191992,1
1033,850459,456126,1
1034,3716119,3025121,4
1035,988417,1104604,1
1036,5221,2981668,3
1037,2021460,243830,0
1038,4774646,1196225,3
1039,2435515,143446,13
1040,3941703,211323,1
1041,651778,2540894,7
1042,477326,3487516,0
1043,3861672,3647364,0
1044,4749201,2707342,2
1045,1255094,3818809,4
1046,437391,1021368,0
1047,4817391,4563454,0
1048,3910665,3985168,1
1049,1150281,4486106,0
1050,4858996,1582222,1
1051,4204662,2133364,0
1052,3656099,1380448,0
1053,4788248,2048276,0
1054,4716646,448823,34
1055,2844962,2757201,7
1056,2161230,2087517,1
1057,3808182,3103806,0
1058,419149,4406065,0
1059,3847967,357466,1
1060,987441,824382,4
1061,4762542,2767142,12
1062,2914647,4841268,0
1063,1275299,1593758,16
1064,3757241,3248594,93
1065,219686,2015738,4
1066,3249932,1068993,0
1067,2704231,3435043,0
1068,2691310,3640458,3
1069,2581947,3759750,0
1070,1689039,3927655,0
1071,2694816,2207956,5
1072,4405100,2051732,23
1073,3352123,3510148,0
1074,2584682,3162385,0
1075,2680834,4254453,2
1076,3202510,2092295,0
1077,4468086,532755,1
1078,575651,4258315,0
1079,2883988,824046,89
1080,4008358,4483821,0
1081,2939315,3155408,4
1082,4839526,3833152,0
1083,3507863,177506,3
1084,4619061,4289016,1
1085,4380434,3731768,0
1086,3213547,2706025,0
1087,4094697,212805,81
1088,1927960,1579810,14
1089,2640387,100754,2
1090,3852854,3785477,1
1091,1700836,350886,0
1092,871160,3340066,0
1093,2772925,2456239,0
1094,1548013,1078672,5
1095,2242956,3882590,37
1096,3603630,3489034,0
1097,1064556,3912526,0
1098,19760,5113,0
1099,740005,4510860,23
1100,4765846,605639,6
1101,2609436,653633,12
1102,2766747,321857,0
1103,4094066,1628264,0
1104,1246601,1897862,0
1105,4232521,2779791,4
1106,2554658,3240496,7
1107,415254,3129186,3
1108,4400995,1187964,18
1109,2850445,1118530,0
1110,3729828,2294440,6
1111,3370783,4790649,44
1112,3001815,74323,0
1113,3394828,2633571,83
1114,117653,1995601,0
1115,1675257,4723059,0
1116,3897513,733605,0
1117,19484,749672,29
1118,4284282,4516132,17
1119,833524,3841591,0
1120,3879365,4329629,3
1121,4251792,57883,9
1122,2835662,2379122,0
1123,2313654,3448488,5
1124,3800305,4420839,2
1125,399565,2956791,3
1126,579536,3165162,0
1127,225697,982493,6
1128,457555,1106852,0
1129,4857001,321177,2
1130,4655006,1987945,1
1131,3163774,3004014,0
1132,4498101,2926541,13
1133,2807375,3247071,4
1134,3222303,1081619,4
1135,4736009,1835245,0
1136,401959,2653845,0
1137,813047,3009562,1
1138,2899933,536723,0
1139,4154717,2424452,75
1140,1413512,3299579,0
1141,2940424,1904054,7
1142,602340,107996,1
1143,1011757,3739100,7
1144,940042,4253433,0
1145,3905250,452890,0
1146,3066444,685095,0
1147,1325436,3202770,1
1148,125872,1465269,1
1149,3407905,765543,0
1150,2623580,2337217,9
1151,4211984,2596286,74
1152,2349594,959247,2
1153,2061150,3837284,2
1154,1399058,1796644,38
1155,12547,957725,2
1156,2361673,2593954,0
1157,3305322,3169329,1
1158,702865,166306,13
1159,4311665,2499401,0
1160,4052122,2588244,0
1161,2187451,3356265,0
1162,2544398,4360802,4
1163,1164032,4779044,2
1164,4125905,723257,35
1165,3169284,2502590,0
1166,1360006,475380,0
1167,3158482,4350093,1
1168,3082677,3108490,1
1169,3139086,4343940,28
1170,1044619,1269131,0
1171,2390374,4143831,0
1172,4779046,4399430,0
1173,4420475,2868440,10
1174,815236,2155768,0
1175,1676054,2238637,18
1176,842454,1847353,0
1177,153792,778021,0
1178,336290,87195,20
1179,2410512,3528096,2
1180,3185337,1129762,4
1181,4086406,4539579,17
1182,4174741,1729680,0
1183,1429183,19269,0
1184,1479088,3296983,0
1185,4139326,1040056,63
1186,4311720,3703326,0
1187,322366,3277122,0
1188,2153824,4079268,2
1189,3690840,3870459,3
1190,1351195,899384,2
