0,source,sink,in_degree_a
985,484479,3540943,85
986,3191384,4856114,68
987,1675257,4005729,2
988,444473,971074,19
989,833087,2769934,60
990,3164595,3162560,47
991,4793374,4008655,22
992,3185337,3815591,180
993,520324,3393730,198
994,2184483,3217561,102
995,693550,193159,33
996,4392592,819288,185
997,2038215,2103578,45
998,4743153,487236,40
999,2745910,2685390,2
1000,2695091,2766614,7
1001,2707088,807761,10
1002,4743153,101940,40
1003,225697,2124762,8
1004,4809745,3025604,38
1005,1760195,1755579,8
1006,3749748,958601,75
1007,3507863,4343940,47
1008,1641756,837222,58
1009,2519600,762056,34
1010,349869,4403612,22
1011,3541658,4790649,316
1012,3998824,4579088,56
1013,2839397,2576561,16
1014,2625217,3115614,91
1015,1227156,2462897,20
1016,366904,2976917,16
1017,908090,37400,41
1018,4110767,1582441,8
1019,2347696,1354897,101
1020,2720299,4626853,38
1021,3100893,2363738,11
1022,2018936,4128045,7
1023,3718908,838453,111
1024,558571,1407969,2
1025,861461,3009562,92
1026,17605,3088232,2
1027,2584054,1840575,43
1028,4623321,723257,85
1029,4788248,1801676,14
1030,2814285,107998,262
1031,2913818,3626136,21
1032,3369814,3350833,6
1033,2707088,743875,10
1034,19484,2681572,91
1035,2464404,2701313,199
1036,1676412,1860112,18
1037,1863670,3706176,17
1038,3291892,37400,492
1039,2826278,2157328,155
1040,4204662,2041783,11
1041,2712752,3474208,180
1042,2232341,1560542,118
1043,2313595,3051327,28
1044,4689344,3115614,163
1045,3318124,655904,26
1046,1841790,4084063,4
1047,2921853,4664852,56
1048,721572,4634127,16
1049,2690278,1269021,82
1050,1411730,4618432,87
1051,813047,2426217,6
1052,1062857,4664852,47
1053,979348,494551,34
1054,979348,3463660,34
1055,4679257,77641,72
1056,4022436,2634700,51
1057,2739660,3292438,169
1058,1396795,4217711,58
1059,4211984,873318,128
1060,3231393,349769,4
1061,1283384,4597942,9
1062,3370067,184085,155
1063,2683846,3443517,74
1064,3210136,2947163,12
1065,1460872,1378011,15
1066,1395639,364458,59
1067,2060035,634165,180
1068,1223102,2903363,37
1069,3374895,279636,240
1070,2604474,4169815,39
1071,2752758,1582441,58
1072,5221,742195,1
1073,3717996,165055,285
1074,1629000,3304718,63
1075,4461572,3241571,350
1076,285390,4332029,69
1077,125872,3282169,15
1078,1396795,1904054,58
1079,3056912,4016607,81
1080,1574437,256053,8
1081,2055183,1332575,5
1082,4452445,2258576,97
1083,144710,378843,208
1084,4358480,262528,1
1085,3308965,3658913,12
1086,660741,2990704,5
1087,3541501,165651,131
1088,3983042,4266094,9
1089,2745387,1987945,49
1090,554768,3640654,284
1091,3854337,3217561,1
1092,4310710,567045,213
1093,4836378,1536763,5
1094,269252,4723059,6
1095,173719,3647364,134
1096,1411730,2664795,87
1097,3644551,1891147,56
1098,309474,1275575,11
1099,4211984,3652986,128
1100,3192626,4094697,65
1101,4802205,3660958,43
1102,887938,4597942,1
1103,3871942,3169329,65
1104,765302,978745,247
1105,2313654,3779626,44
1106,2704231,3169329,100
1107,2450052,4342717,5
1108,2161230,2251789,21
1109,596337,3658576,2
1110,622386,1615948,16
1111,2581947,2337217,19
1112,3997092,3824251,39
1113,3622805,1140025,9
1114,3418483,1317062,2
1115,1863670,4104762,17
1116,3082677,4144645,3
1117,933347,742195,349
1118,3216710,1558128,14
1119,2535495,3003794,166
1120,2850445,314924,84
1121,811898,211323,6
1122,2464404,3787881,199
1123,174802,4482088,112
1124,4217929,1503250,25
1125,1779478,743875,9
1126,1413126,1613382,61
1127,2096490,438964,115
1128,1550064,243176,1
1129,1211741,3815840,16
1130,3353466,502401,99
1131,566130,1488238,141
1132,4690365,2322663,37
1133,4263251,732416,1
1134,1450153,952893,10
1135,4836378,401008,5
1136,3836480,1957800,9
1137,1695915,938763,7
1138,2402582,3410823,29
1139,4358141,3448830,9
1140,1333051,4463463,92
1141,2624184,597760,101
1142,1184100,1582441,88
1143,4025298,3795595,30
1144,1452,970119,141
1145,2475214,487074,8
1146,1322684,2087517,52
1147,1602676,3446682,17
1148,2422900,4345793,23
1149,3248527,3535207,161
1150,1834142,127123,25
1151,3013323,824031,60
1152,3821504,2178305,3
1153,1187945,321857,211
1154,2535426,4799044,161
1155,2073048,775014,16
1156,3001970,1581879,238
1157,3561479,12423,67
1158,2852252,3311965,165
1159,4608977,3061931,5
1160,3150672,1339133,8
1161,2912801,2401643,4
1162,3185337,726638,180
1163,1607095,475380,37
1164,3981172,4846084,18
1165,4458811,879781,102
1166,1747009,2450275,18
1167,3794842,4007276,26
1168,947762,1432601,19
1169,1283384,738568,9
1170,1493935,2092812,4
1171,3451039,1499488,38
1172,2533205,542316,15
1173,3440116,257577,67
1174,1587881,852669,21
1175,558917,362485,100
1176,2920273,3640654,2
1177,1749305,1021368,227
1178,1101947,1540392,4
1179,2058283,3429791,12
1180,4016649,3392930,16
1181,2518054,1131169,194
1182,1628755,3410967,3
1183,3763685,3985168,13
1184,762479,3867352,14
1185,3046801,1104604,330
1186,3733752,3912526,400
1187,1677157,2529373,7
1188,1629000,4626853,63
1189,4804968,4746621,14
1190,3491685,20388,4
1191,4768938,1063377,21
