0,source,sink,out_degree_b
183,20388,323353,0
184,20388,4112604,0
185,20388,4845176,0
186,20388,3527808,0
187,20388,1886135,0
188,20388,3074605,0
189,20388,3876734,0
190,20388,3101745,0
191,20388,307931,0
192,20388,556821,0
193,20388,2382659,0
194,20388,2900136,0
195,20388,2426208,0
196,20388,4036360,0
197,20388,4230119,0
198,20388,880043,0
199,20388,28744,0
200,20388,4354709,0
201,20388,4311566,0
202,20388,2910081,0
203,20388,3770751,0
204,20388,229729,0
205,20388,3352938,0
206,20388,359495,0
207,20388,4689112,0
208,20388,744581,0
209,20388,524680,0
210,20388,3917082,0
211,20388,4809348,0
212,20388,3291635,0
213,20388,763356,0
214,20388,573160,0
215,20388,1760189,0
216,20388,2712171,0
217,20388,940365,0
218,20388,1981060,0
219,20388,3166229,0
220,20388,3622209,0
221,20388,1970792,0
222,20388,3745810,0
223,20388,1363081,0
224,20388,1248844,0
225,20388,215127,0
226,20388,1657629,0
227,20388,2668061,0
228,20388,1820922,0
229,20388,4255951,0
230,20388,591768,0
231,20388,4661368,0
232,20388,3164204,0
233,20388,1955265,0
234,20388,997648,0
235,20388,4605797,0
236,20388,3670155,0
237,20388,800478,0
238,20388,2915519,0
239,20388,2782550,0
240,20388,2542611,0
241,20388,4340328,0
242,20388,239964,0
243,20388,3979157,0
244,20388,843561,0
245,20388,62172,0
246,20388,2156958,0
247,20388,82336,0
248,20388,1453046,0
249,20388,2461980,0
250,20388,3789590,0
251,20388,657974,0
252,20388,1962257,0
253,20388,2376119,0
254,20388,58233,0
255,20388,4443585,0
256,20388,4232281,0
257,20388,101573,0
258,20388,4218035,0
259,20388,2135903,0
260,20388,169995,0
261,20388,1557565,0
262,20388,1916851,0
263,20388,3868938,0
264,20388,3959656,0
265,20388,4788648,0
266,20388,4001765,0
267,20388,2625408,0
268,20388,724884,0
269,20388,4227797,0
270,20388,4329441,0
271,20388,606044,0
272,20388,136577,0
273,20388,2000027,0
274,20388,2824530,0
275,20388,689508,0
276,20388,1814939,0
277,20388,3141451,0
278,20388,2110871,0
279,20388,3543877,0
280,20388,4109235,0
281,20388,3405473,0
282,20388,4453,0
283,20388,240968,0
284,20388,1204992,0
285,20388,2372207,0
286,20388,4276423,0
287,20388,3857824,0
288,20388,2609126,0
289,20388,4075762,0
290,20388,1129664,0
291,20388,1890797,0
292,20388,1681661,0
293,20388,3766842,0
294,20388,3848946,0
295,20388,2393831,0
296,20388,4520000,0
297,20388,2306635,0
298,20388,3745139,0
299,20388,4648260,0
300,20388,3290767,0
301,20388,699984,0
302,20388,3516979,0
303,20388,3337351,0
304,20388,1495089,0
305,20388,3092238,0
306,20388,4364543,0
307,20388,3622286,0
308,20388,1911672,0
309,20388,4746984,0
310,20388,3867332,0
311,20388,327759,0
312,20388,3022070,0
313,20388,2373120,0
314,20388,3125443,0
315,20388,2425032,0
316,20388,4214389,0
317,20388,4672512,0
318,20388,3306596,0
319,20388,2589851,0
320,20388,2844611,0
321,20388,4725067,0
322,20388,1749984,0
323,20388,2506560,0
324,20388,666586,0
325,20388,1110196,0
326,20388,3104920,0
327,20388,631608,0
328,20388,2715073,0
329,20388,1109026,0
330,20388,4334629,0
331,20388,3078284,0
332,20388,2189374,0
333,20388,2343197,0
334,20388,2301979,0
335,20388,2658893,0
336,20388,1535006,0
337,20388,1861146,0
338,20388,2415519,0
339,20388,200072,0
340,20388,3162086,0
341,20388,2300651,0
342,20388,3581216,0
343,20388,1832935,0
344,20388,2737158,0
345,20388,4537522,0
346,20388,738746,0
347,20388,2841050,0
348,20388,4337493,0
349,20388,675286,0
350,20388,1163506,0
351,20388,4848624,0
352,20388,2238113,0
353,20388,4429891,0
354,20388,3665395,0
355,20388,4183179,0
356,20388,715231,0
357,20388,3604164,0
358,20388,2175423,0
359,20388,2557014,0
360,20388,2670943,0
361,20388,3651197,0
362,20388,1869434,0
363,20388,1611764,0
364,20388,4281534,0
365,20388,2823181,0
366,20388,1124163,0
367,20388,875996,0
368,20388,1977438,0
369,20388,3435190,0
370,20388,1740130,0
371,20388,3372775,0
372,20388,3720777,0
373,20388,331500,0
374,20388,4097076,0
375,20388,2085221,0
376,20388,1783483,0
377,20388,1100635,0
378,20388,1774558,0
379,20388,1925220,0
380,20388,4210870,0
381,20388,4803727,0
382,20388,2953545,0
383,20388,1201423,0
384,20388,935651,0
385,20388,4179554,0
386,20388,3955415,0
387,20388,4128813,0
388,20388,4151704,0
389,20388,2231927,0
390,20388,2869089,0
391,20388,2408552,0
392,20388,1873075,0
393,20388,4448205,0
394,20388,3131709,0
395,20388,3625568,0
396,20388,3456238,0
397,20388,4529017,0
398,20388,649839,0
399,20388,947045,0
400,20388,4817800,0
401,20388,2398444,0
402,20388,3199883,0
403,20388,3966104,0
404,20388,1326726,0
405,20388,910301,0
406,20388,1499337,0
407,20388,676667,0
408,20388,2031531,0
409,20388,2121898,0
410,20388,44771,0
411,20388,2338672,0
412,20388,1997280,0
413,20388,2755351,0
414,20388,1154651,0
415,20388,157960,0
416,20388,149378,0
417,20388,4102245,0
418,20388,802775,0
419,20388,4501329,0
420,20388,2626660,0
421,20388,3149079,0
422,20388,1496546,0
423,20388,4420284,0
424,20388,2640710,0
425,20388,4285812,0
426,20388,3018064,0
427,20388,3168003,0
428,20388,612860,0
429,20388,3782849,0
430,20388,567278,0
431,20388,1816969,0
432,20388,3851960,0
433,20388,1153330,0
434,20388,2768469,0
435,20388,1990791,0
436,20388,2561072,0
437,20388,4373117,0
438,20388,540929,0
439,20388,742598,0
440,20388,2871089,0
441,20388,461850,0
442,20388,4427067,0
443,20388,2098023,0
444,20388,2509323,0
445,20388,2944340,0
446,20388,1709693,0
447,20388,3250512,0
448,20388,1413032,0
449,20388,2341553,0
450,20388,3586714,0
451,20388,705213,0
452,20388,2706995,0
453,20388,2454694,0
454,20388,4440292,0
455,20388,543467,0
456,20388,2092936,0
457,20388,126125,0
458,20388,175490,0
459,20388,2494053,0
460,20388,207742,0
461,20388,1410884,0
462,20388,3940029,0
463,20388,2878869,0
464,20388,726754,0
465,20388,3754973,0
466,20388,2484124,0
467,20388,1896937,0
468,20388,1584848,0
469,20388,1832458,0
470,20388,5108,0
471,20388,3340198,0
472,20388,4822815,0
473,20388,2879669,0
474,20388,1446473,0
475,20388,1485221,0
476,20388,1461334,0
477,20388,3036600,0
478,20388,3438399,0
479,20388,458844,0
480,20388,78137,0
481,20388,1752804,0
482,20388,2060446,0
483,20388,1420306,0
484,20388,2346837,0
485,20388,890630,0
486,20388,1269460,0
487,20388,1187491,0
488,20388,1010448,0
489,20388,4593675,0
490,20388,908459,0
491,20388,2404781,0
492,20388,4488417,0
493,20388,4672730,0
494,20388,1415202,0
495,20388,3826987,0
496,20388,3940471,0
497,20388,4407002,0
498,20388,3727179,0
499,20388,2269621,0
500,20388,2090815,0
501,20388,4035182,0
502,20388,2653180,0
503,20388,2163860,0
504,20388,3479638,0
505,20388,667184,0
506,20388,1894115,0
507,20388,3993144,0
508,20388,4183912,0
509,20388,3071326,0
510,20388,2843898,0
511,20388,396655,0
512,20388,2097600,0
513,20388,2218098,0
514,20388,26378,0
515,20388,4863043,0
516,20388,2027372,0
517,20388,4837916,0
518,20388,1723510,0
519,20388,724644,0
520,20388,4509002,0
521,20388,2502266,0
522,20388,331540,0
523,20388,3597321,0
524,20388,2583785,0
525,20388,1068278,0
526,20388,2887549,0
527,20388,1839454,0
528,20388,4191399,0
529,20388,2506920,0
530,20388,222901,0
531,20388,970102,0
532,20388,3331119,0
533,20388,4324335,0
534,20388,2305685,0
535,20388,1329096,0
536,20388,4361251,0
537,20388,1978648,0
538,20388,1090563,0
539,20388,481584,0
540,20388,1617020,0
541,20388,3296919,0
542,20388,4619497,0
543,20388,4135981,0
544,20388,2867072,0
545,20388,1749046,0
546,20388,3958684,0
547,20388,1958795,0
548,20388,3962446,0
549,20388,4369213,0
550,20388,1893663,0
551,20388,720286,0
552,20388,3823892,0
553,20388,4311230,0
554,20388,1549009,0
555,20388,3552577,0
556,20388,3889827,0
557,20388,2860658,0
558,20388,1142875,0
559,20388,2513353,0
560,20388,2357898,0
561,20388,4347916,0
562,20388,1885645,0
563,20388,2318895,0
564,20388,3198071,0
565,20388,648090,0
566,20388,4363421,0
567,20388,1684451,0
568,20388,3682643,0
569,20388,4360406,0
570,20388,1629132,4740
571,20388,2399607,0
572,20388,4351834,0
573,20388,2179080,0
574,20388,645095,0
575,20388,4713652,0
576,20388,3246196,0
577,20388,1621460,0
578,20388,325166,0
579,20388,4152255,0
580,20388,1828939,0
581,20388,4528045,0
582,20388,1069723,0
583,20388,1944651,0
584,20388,1981608,0
585,20388,282037,0
586,20388,3640498,0
587,20388,1602612,0
588,20388,2183366,0
589,20388,2175625,0
590,20388,3894790,0
591,20388,2067239,0
592,20388,2049400,0
593,20388,1325901,0
594,20388,800699,0
595,20388,1619185,0
596,20388,1134756,0
597,20388,85685,0
598,20388,4266542,0
599,20388,4294293,0
600,20388,3164681,0
601,20388,2434172,0
602,20388,503183,0
603,20388,1786317,0
604,20388,4620969,0
605,20388,3541189,0
606,20388,2487009,0
607,20388,3999905,0
608,20388,2719097,0
609,20388,2144125,0
610,20388,3225379,0
611,20388,4689641,0
612,20388,4233249,0
613,20388,2815521,0
614,20388,4771257,0
615,20388,747278,0
616,20388,3831581,0
617,20388,477552,0
618,20388,3640411,0
619,20388,60246,0
620,20388,2444093,0
621,20388,1257913,0
622,20388,1117668,0
623,20388,1642667,0
624,20388,2762425,0
625,20388,2023303,0
626,20388,3928251,0
627,20388,250512,0
628,20388,4007628,0
629,20388,869229,0
630,20388,1191830,0
631,20388,2732206,0
632,20388,2699808,0
633,20388,3011060,0
634,20388,1990081,0
635,20388,2388878,0
636,20388,2490614,0
637,20388,3922522,0
638,20388,3861948,0
639,20388,426509,0
640,20388,3265037,0
641,20388,460190,0
642,20388,4474408,0
643,20388,1282197,0
644,20388,4638483,0
645,20388,4811829,0
646,20388,2549690,0
647,20388,4090363,0
648,20388,3599282,0
649,20388,1329642,0
650,20388,3734430,0
651,20388,4816345,0
652,20388,354306,0
653,20388,4770159,0
654,20388,749205,0
655,20388,3771393,0
656,20388,3254731,0
657,20388,4372413,0
658,20388,1135548,0
659,20388,2943847,0
660,20388,2363768,0
661,20388,3628551,0
662,20388,3913441,0
663,20388,649942,0
664,20388,2345534,0
665,20388,273870,0
666,20388,4783975,0
667,20388,4604040,0
668,20388,3367138,0
669,20388,4281749,0
670,20388,4484947,0
671,20388,929297,0
672,20388,1467313,0
673,20388,1163646,0
674,20388,1137392,0
675,20388,3072043,0
676,20388,1994568,0
677,20388,2682950,0
678,20388,2322694,0
679,20388,801582,0
680,20388,4057130,0
681,20388,2825272,0
682,20388,1250164,0
683,20388,1283376,0
684,20388,3413835,0
685,20388,1910023,0
686,20388,343090,0
687,20388,1445483,0
688,20388,2273384,0
689,20388,2938519,0
690,20388,520760,0
691,20388,4092221,0
692,20388,4042496,0
693,20388,2668151,0
694,20388,2888437,0
695,20388,1726515,0
696,20388,2905571,0
697,20388,4800659,0
698,20388,3651661,0
699,20388,2669204,0
700,20388,3478680,0
701,20388,2560245,0
702,20388,2585545,0
703,20388,1458361,0
704,20388,1522144,0
705,20388,2293942,0
706,20388,4654590,0
707,20388,4672588,0
708,20388,2003696,0
709,20388,207003,0
710,20388,3300015,0
711,20388,776539,0
712,20388,3368903,0
713,20388,4443133,0
714,20388,90270,0
715,20388,2136959,0
716,20388,2828682,0
717,20388,3248079,0
718,20388,2568694,0
719,20388,3391194,0
720,20388,2079225,0
721,20388,268787,0
722,20388,32759,0
723,20388,3837763,0
724,20388,3996298,0
725,20388,3445420,0
726,20388,3928508,0
727,20388,1400486,0
728,20388,3072327,0
729,20388,4780028,0
730,20388,1664766,0
731,20388,3093541,0
732,20388,1883679,0
733,20388,2814944,0
734,20388,2791133,0
735,20388,3842951,0
736,20388,4835284,0
737,20388,3678262,0
738,20388,2855659,0
739,20388,2451896,0
740,20388,3524050,0
741,20388,656915,0
742,20388,2461059,0
743,20388,3468744,0
744,20388,1260443,0
745,20388,1315505,0
746,20388,4693566,0
747,20388,4297073,0
748,20388,4809651,0
749,20388,4513800,0
750,20388,3431758,0
751,20388,2278777,0
752,20388,3032999,0
753,20388,2032208,0
754,20388,1521368,0
755,20388,2848438,0
756,20388,4826217,0
757,20388,1155987,0
758,20388,4192183,0
759,20388,1035137,0
760,20388,4767502,0
761,20388,1022992,0
762,20388,4684191,0
763,20388,2633064,0
764,20388,4611081,0
765,20388,1867909,0
766,20388,3300079,0
767,20388,3918971,0
768,20388,3108143,0
769,20388,2124471,0
770,20388,771361,0
771,20388,4139381,0
772,20388,617743,0
773,20388,1273938,0
774,20388,1873845,0
775,20388,4858058,0
776,20388,2354605,0
777,20388,4029896,0
778,20388,1517501,0
779,20388,2664229,0
780,20388,1060459,0
781,20388,22883,0
782,20388,950588,0
783,20388,1066673,0
784,20388,3030706,0
785,20388,4621654,0
786,20388,2524325,0
787,20388,3467433,0
788,20388,4788371,0
789,20388,1474776,0
790,20388,250274,0
791,20388,2803955,0
792,20388,3373410,0
793,20388,2385605,0
794,20388,2545610,0
795,20388,2770216,0
796,20388,1522250,0
797,20388,3188703,0
798,20388,1076449,0
799,20388,454940,0
800,20388,3198628,0
801,20388,510305,0
802,20388,4326098,0
803,20388,2757208,0
804,20388,2988103,0
805,20388,380028,0
806,20388,4382358,0
807,20388,2073274,0
808,20388,3831340,0
809,20388,2049409,0
810,20388,3930214,0
811,20388,2426784,0
812,20388,194887,0
813,20388,4613144,0
814,20388,1706352,0
815,20388,380536,0
816,20388,4332357,0
817,20388,1286578,0
818,20388,678429,0
819,20388,3118482,0
820,20388,4454039,0
821,20388,365114,0
822,20388,2628195,0
823,20388,1819419,0
824,20388,4617276,0
825,20388,3160923,0
826,20388,4500346,0
827,20388,2580336,0
828,20388,3071585,0
829,20388,3273814,0
830,20388,4569592,0
831,20388,1940312,0
832,20388,690326,0
833,20388,701838,0
834,20388,2166650,0
835,20388,726301,0
836,20388,3099633,0
837,20388,2010099,0
838,20388,1022593,0
839,20388,1047760,0
840,20388,999490,0
841,20388,1835465,0
842,20388,698140,0
843,20388,786615,0
844,20388,3131408,0
845,20388,197254,0
846,20388,2955983,0
847,20388,1510983,0
848,20388,2086227,0
849,20388,1121520,0
850,20388,2897478,0
851,20388,449805,0
852,20388,2961338,0
853,20388,4527577,0
854,20388,2472643,0
855,20388,1072914,0
856,20388,4214614,0
857,20388,3859934,0
858,20388,2477838,0
859,20388,1755519,0
860,20388,4489917,0
861,20388,2073803,0
862,20388,3859171,0
863,20388,2289154,0
864,20388,4578893,0
865,20388,4078326,0
866,20388,1074774,0
867,20388,1261080,0
868,20388,1217556,0
869,20388,3290976,0
870,20388,51927,0
871,20388,591760,0
872,20388,1019759,0
873,20388,1124194,0
874,20388,137964,0
875,20388,524864,0
876,20388,4095334,0
877,20388,3263260,0
878,20388,1882948,0
879,20388,892700,0
880,20388,123607,0
881,20388,340196,0
882,20388,1641990,0
883,20388,4523917,0
884,20388,574001,0
885,20388,2312640,0
886,20388,1034109,0
887,20388,1944150,0
888,20388,907241,0
889,20388,4048799,0
890,20388,3636582,0
891,20388,2659641,0
892,20388,3248091,0
893,20388,90044,0
894,20388,1465250,0
895,20388,1285552,0
896,20388,4424973,0
897,20388,331358,0
898,20388,2137862,0
899,20388,4686777,0
900,20388,2398846,0
901,20388,4412727,0
902,20388,4635827,0
903,20388,4237221,0
904,20388,32958,0
905,20388,1315975,0
906,20388,4723196,0
907,20388,403448,0
908,20388,1299359,0
909,20388,3025780,0
910,20388,1614901,0
911,20388,2388150,0
912,20388,4391893,0
913,20388,3864053,0
914,20388,3321580,0
915,20388,1294357,0
916,20388,122700,0
917,20388,4822767,0
918,20388,2084378,0
919,20388,24093,0
920,20388,1275684,0
921,20388,224648,0
922,20388,1516514,0
923,20388,1600592,0
924,20388,4301040,0
925,20388,2110741,0
926,20388,4740777,0
927,20388,4148660,0
928,20388,1263391,0
929,20388,3275723,0
930,20388,2210741,0
931,20388,2400197,0
932,20388,3931507,0
933,20388,4718434,0
934,20388,3712568,0
935,20388,424805,0
936,20388,746178,0
937,20388,303568,0
938,20388,1016266,0
939,20388,1452745,0
940,20388,400544,0
941,20388,1758138,0
942,20388,191635,0
943,20388,1043649,0
944,20388,3306490,0
945,20388,379142,0
946,20388,1761124,0
947,20388,3879741,0
948,20388,2476056,0
949,20388,1704716,0
950,20388,3376686,0
951,20388,63884,0
952,20388,2499058,0
953,20388,3575735,0
954,20388,3668045,0
955,20388,861695,0
956,20388,2347307,0
957,20388,4375897,0
958,20388,4028499,0
959,20388,3217484,0
960,20388,3417257,0
961,20388,3828523,0
962,20388,153501,0
963,20388,3014516,0
964,20388,4506996,0
965,20388,3963904,0
966,20388,1227376,0
967,20388,717979,0
968,20388,4793433,0
969,20388,3495080,0
970,20388,3257143,0
971,20388,2879891,0
972,20388,2106179,0
973,20388,4120397,0
974,20388,1238148,0
975,20388,1156017,0
976,20388,363501,0
977,20388,524998,0
978,20388,511542,0
979,20388,188168,0
980,20388,584137,0
981,20388,75107,0
982,20388,1209915,0
983,20388,1006382,0
984,20388,3547215,0
985,20388,4080742,0
986,20388,2950459,0
987,20388,3180155,0
988,20388,4175895,0
989,20388,1916994,0
990,20388,3396850,0
991,20388,2566449,0
992,20388,67603,0
993,20388,2760464,0
994,20388,2289388,0
995,20388,534821,0
996,20388,2033153,0
997,20388,4747676,0
998,20388,1877338,0
999,20388,741962,0
1000,20388,1392716,0
1001,20388,973075,0
1002,20388,1153329,0
1003,20388,3137391,0
1004,20388,1431202,0
1005,20388,3788608,0
1006,20388,1298032,0
1007,20388,1697514,0
1008,20388,722973,0
1009,20388,1697236,0
1010,20388,521096,0
1011,20388,4251491,0
1012,20388,364121,0
1013,20388,584604,0
1014,20388,2589006,0
1015,20388,4272904,0
1016,20388,1891108,0
1017,20388,498290,0
1018,20388,4062170,0
1019,20388,3532935,0
1020,20388,4442860,0
1021,20388,3916968,0
1022,20388,148280,0
1023,20388,2115865,0
1024,20388,1787004,0
1025,20388,4096708,0
1026,20388,2202158,0
1027,20388,2050081,0
1028,20388,2153029,0
1029,20388,2625763,0
1030,20388,3273977,0
1031,20388,3875694,0
1032,20388,2206844,0
1033,20388,4507437,0
1034,20388,1550131,0
1035,20388,3553023,0
1036,20388,3716135,0
1037,20388,4759949,0
1038,20388,264197,0
1039,20388,442185,0
1040,20388,436971,0
1041,20388,731929,0
1042,20388,2447110,0
1043,20388,4555311,0
1044,20388,474196,0
1045,20388,436021,0
1046,20388,4756817,0
1047,20388,1006056,0
1048,20388,1273700,0
1049,20388,1889369,0
1050,20388,1236296,0
1051,20388,741773,0
1052,20388,3874421,0
1053,20388,2116620,0
1054,20388,2421121,0
1055,20388,2452063,0
1056,20388,2637527,0
1057,20388,4418006,0
1058,20388,1066905,0
1059,20388,2130300,0
1060,20388,4294166,0
1061,20388,2353468,0
1062,20388,4048581,0
1063,20388,3149801,0
1064,20388,3762251,0
1065,20388,1508490,0
1066,20388,3566560,0
1067,20388,2284072,0
1068,20388,4272996,0
1069,20388,2385372,0
1070,20388,811079,0
1071,20388,1836505,0
1072,20388,80348,0
1073,20388,1127498,0
1074,20388,308424,0
1075,20388,972333,0
1076,20388,442229,0
1077,20388,4357370,0
1078,20388,3229123,0
1079,20388,1879105,0
1080,20388,1423386,0
1081,20388,4163587,0
1082,20388,1000807,0
1083,20388,484449,0
1084,20388,1333862,0
1085,20388,3315010,0
1086,20388,1819249,0
1087,20388,4828892,0
1088,20388,3041395,0
1089,20388,3288882,0
1090,20388,4201148,0
1091,20388,700423,0
1092,20388,136267,0
1093,20388,4754021,0
1094,20388,590005,0
1095,20388,3991718,0
1096,20388,687020,0
1097,20388,2650794,0
1098,20388,1009760,0
1099,20388,2534478,0
1100,20388,4193677,0
1101,20388,2622986,0
1102,20388,896632,0
1103,20388,2862713,0
1104,20388,2858322,0
1105,20388,213882,0
1106,20388,2777442,0
1107,20388,2480104,0
1108,20388,1177633,0
1109,20388,802077,0
1110,20388,3951241,0
1111,20388,250168,0
1112,20388,1406803,0
1113,20388,3867594,0
1114,20388,2428255,0
1115,20388,4636841,0
1116,20388,1245533,0
1117,20388,1776676,0
1118,20388,3812768,0
1119,20388,3718453,0
1120,20388,3902945,0
1121,20388,4652830,0
1122,20388,1456236,0
1123,20388,1480055,0
1124,20388,4832145,0
1125,20388,1770642,0
1126,20388,2164221,0
1127,20388,3212156,0
1128,20388,2884893,0
1129,20388,3092672,0
1130,20388,3455129,0
1131,20388,3304440,0
1132,20388,1554870,0
1133,20388,2011922,0
1134,20388,1899237,0
1135,20388,3309380,0
1136,20388,1410091,0
1137,20388,2235738,0
1138,20388,1628588,0
1139,20388,871389,0
1140,20388,1698844,0
1141,20388,3912014,0
1142,20388,2230798,0
1143,20388,255115,0
1144,20388,424071,0
1145,20388,3016677,0
1146,20388,732598,0
1147,20388,191722,0
1148,20388,3663958,0
1149,20388,209573,0
1150,20388,59692,0
1151,20388,1993311,0
1152,20388,4674141,0
1153,20388,561363,0
1154,20388,1161579,0
1155,20388,618719,0
1156,20388,4383380,0
1157,20388,2744308,0
1158,20388,1322813,0
1159,20388,4199005,0
1160,20388,3372983,0
1161,20388,2169895,0
1162,20388,1287451,0
1163,20388,852210,0
1164,20388,4691260,0
1165,20388,2786883,0
1166,20388,4647666,0
1167,20388,988693,0
1168,20388,1582263,0
1169,20388,1727897,0
1170,20388,4420246,0
1171,20388,215825,0
1172,20388,3953910,0
1173,20388,4430511,0
1174,20388,3481564,0
1175,20388,1351474,0
1176,20388,1153575,0
1177,20388,3428438,0
1178,20388,1451090,0
1179,20388,1623632,0
1180,20388,4214003,0
1181,20388,770846,0
1182,20388,1303272,0
1183,20388,2573280,0
1184,20388,414466,0
1185,20388,3340686,0
1186,20388,3575093,0
1187,20388,441867,0
1188,20388,33287,0
1189,20388,357883,0
1190,20388,807266,0
1191,20388,3333165,0
1192,20388,2638976,0
1193,20388,3527490,0
1194,20388,2758659,0
1195,20388,1382111,0
1196,20388,3020797,0
1197,20388,4771428,0
1198,20388,2114884,0
1199,20388,1756355,0
1200,20388,4642948,0
1201,20388,626041,0
1202,20388,2114668,0
1203,20388,629695,0
1204,20388,4032529,0
1205,20388,4615313,0
1206,20388,342794,0
1207,20388,3555472,0
1208,20388,2123724,0
1209,20388,574342,0
1210,20388,73427,0
1211,20388,3266137,0
1212,20388,558572,0
1213,20388,2094533,0
1214,20388,4061136,0
1215,20388,1658458,0
1216,20388,3406634,0
1217,20388,346096,0
1218,20388,773033,0
1219,20388,4414104,0
1220,20388,1612378,0
1221,20388,787171,0
1222,20388,4590267,0
1223,20388,3461634,0
1224,20388,1411777,0
1225,20388,1200747,0
1226,20388,347429,0
1227,20388,4527270,0
1228,20388,1099368,0
1229,20388,4393495,0
1230,20388,3220908,0
1231,20388,3714600,0
1232,20388,4207330,0
1233,20388,32823,0
1234,20388,2949834,0
1235,20388,223374,0
1236,20388,3017588,0
1237,20388,2276976,0
1238,20388,597992,0
1239,20388,4793672,0
1240,20388,2453994,0
1241,20388,94376,0
1242,20388,4559967,0
1243,20388,293916,0
1244,20388,709004,0
1245,20388,4584487,0
1246,20388,777755,0
1247,20388,916042,0
1248,20388,1534412,0
1249,20388,1581255,0
1250,20388,2119683,0
1251,20388,4823686,0
1252,20388,2364937,0
1253,20388,4743057,0
1254,20388,2819403,0
1255,20388,2012361,0
1256,20388,4239073,0
1257,20388,1567615,0
1258,20388,2181128,0
1259,20388,3865495,0
1260,20388,1400770,0
1261,20388,1599593,0
1262,20388,3625614,0
1263,20388,3594285,0
1264,20388,4355539,0
1265,20388,3773343,0
1266,20388,1735647,0
1267,20388,4050381,0
1268,20388,3454409,0
1269,20388,3187114,0
