0,source,sink,preferential_attachment
217,3648705,3367608,2666
218,1537715,1341124,14840
219,831453,122016,1326
220,1429183,3247415,198
221,4579537,3799178,41258
222,169650,1856116,76
223,960790,3067078,332866
224,3102958,2702637,3368
225,4843952,3889805,12593
226,907892,2320538,3552
227,3332350,2863811,152320
228,4862682,3375317,11946
229,4732222,3013417,134912
230,4742300,4400515,33825
231,1200055,970441,6369
232,2411192,575372,15170
233,846393,3611163,1008
234,3228963,3740055,252
235,1651539,559732,172494
236,2098473,14202,245916
237,598650,1204624,1209
238,4093979,4863182,283590
239,483091,4337184,22458
240,2077025,799040,50
241,699366,2497380,669
242,402005,1558394,45824
243,1635607,4058041,51555
244,4789443,124654,2240
245,2597890,3167298,7848
246,2390420,4116301,4130
247,2602854,3609187,10503
248,4709481,4283234,98
249,1327905,3553485,21602169
250,1295223,614768,200100
251,3044382,104806,165
252,3320731,1853137,1632
253,3265042,2821412,90
254,3072308,269841,434044
255,1174,683529,10116
256,649203,1467047,5020
257,4764268,1114409,966
258,4357352,3501099,322477
259,1942858,4502795,5160
260,2502918,2689599,378
261,4700248,4278467,22412
262,4564989,4451008,515680
263,2001062,1196225,147538
264,3280393,1165110,39
265,1727502,34992,4720
266,4550525,4776193,6370
267,43264,2332893,272484
268,1737080,3616458,68748
269,122041,142496,72210
270,2646333,1672636,1536
271,1742701,2970071,11340
272,3293255,833637,11440
273,1780606,2262636,187
274,1345570,2824526,6480
275,2887828,1690852,369486
276,38947,3108211,20336
277,1013242,4077123,21318
278,839043,2692611,2345
279,371635,156875,6399
280,3011952,4720585,554528
281,3638601,2129705,33252
282,3708904,2079990,24764
283,241387,1059358,102342
284,40248,1127656,6305
285,987263,2478602,760400
286,1879363,4654996,4392
287,2950460,1294552,40703
288,2695168,3951022,29887
289,3961269,728145,5070
290,3028026,4119951,7820
291,1616100,902731,471393
292,3212185,37950,135
293,615572,2930986,21826250
294,2824613,4085345,188
295,3014991,821405,1030
296,2080615,2393,31521
297,3675243,622762,68968
298,947762,2764726,28
299,596458,360372,1400
300,785634,4458764,7202
301,3701577,463578,14652
302,1567929,1000,329178
303,1912792,3080932,38849
304,4231030,1132916,1612
305,3026988,2133291,9954
306,2837576,2427238,256
307,2985401,3587358,24062
308,838983,799253,2513200
309,4525307,3762216,20273
310,3651080,1922246,1440
311,667134,1781711,1218
312,2676205,3132930,6440
313,4225721,2019650,100300
314,540450,4629997,39984
315,2483244,3602926,982278
316,1735998,4810297,2072
317,4306167,603449,330
318,375480,2152962,786654
319,3180301,1013242,31008
320,935185,2126374,11592
321,363438,848620,160600
322,116337,1529538,59619
323,902881,1494526,3285
324,3041683,2404217,2352
325,3497766,800910,2024
326,4472132,593309,162816
327,2634508,4247346,8601
328,1389619,2878362,168
329,4340194,2322663,148467
330,2602154,1025339,20619
331,1403344,937234,88775
332,1886723,3571324,23639
333,2843784,585327,327
334,1440901,3514834,686538
335,2151302,4808211,3342
336,2610700,736798,4405
337,3589489,65638,62934
338,3716377,1305585,92
339,3097604,1624964,2951551
340,274784,3668306,15120
341,2603652,686964,54
342,1294974,1085701,71280
343,2037264,3701516,367730
344,2795225,4791127,830
345,3122389,475690,1232
346,1910873,3734722,1209
347,161389,471991,1919
348,228846,2147948,6370
349,1095970,4364508,83
350,1129376,4673214,16920
351,3083253,3252172,248400
352,3795380,84920,89010
353,4472132,778318,80128
354,4027528,2512220,2096
355,4509912,3363781,12
356,3606552,3485884,4175
357,2071061,217062,99221
358,1287168,3017206,1549450
359,244854,754891,4466
360,4085623,4488362,3995
361,2985668,2730949,120
362,2434952,1619400,110502
363,4014664,3005882,4720
364,1132039,1284166,517
365,1063377,1989026,529317
366,3114061,257104,148344
367,201208,49768,108
368,574695,230446,2802384
369,4549398,1689039,54144
370,4600134,4499634,20720
371,3763337,1257051,1126218
372,4787393,3465103,7790
373,4633577,2946725,7965
374,3452192,3745072,372
375,4837314,1405519,6554
376,2171358,4639852,26790
377,2915107,491852,116
378,2146363,4223666,5940
379,4022814,1532516,10090
380,384798,2369304,3528
381,1335561,3422412,78899
382,2766651,1603729,5943
383,3912764,1702233,5034
384,332358,3630776,92
385,2711792,1908942,13448
386,1619329,2751324,24321
387,1596963,663653,130
388,4366907,853244,2997
389,1140769,4003463,256
390,2471891,1842206,1122
391,1488894,804420,16148
392,4782388,2617603,4590
393,1049492,4577899,3181752
394,1927555,4809338,3042
395,409991,745080,214344
396,2868729,209562,49
397,4538062,2135899,798830
398,3184961,2906703,776020
399,2300464,1086249,61887
400,2762481,1802456,191277
401,1609286,4400935,2236
402,1628863,2632013,750
403,3677360,1782555,2058
404,2395078,1206279,1771
405,4611286,1052729,1520
406,3169284,470204,17352
407,1506690,1416529,3010
408,3234922,475821,56
409,4302499,130848,4181
410,3761317,1365355,3288
411,1897195,1341854,276
412,45986,1660284,2847
413,455599,1494927,1421
414,2136000,4385947,43125
415,256201,1294553,174
416,3890448,4722827,399743
417,3773245,4653266,1957
418,1952272,3325406,51
419,2300246,4158172,6396
420,3222384,3507219,2036731
421,3399075,3779861,160248
422,347715,2127258,700
423,4214306,900689,13748
424,3266984,1448556,27195
425,169650,274950,3572
426,1433247,1590857,4805
427,2383394,468651,10873
428,3063478,3181408,57792
429,1097603,4749496,23495
430,1343350,744455,4275
431,1164411,2817097,9737
432,4724928,1007939,7409
433,4736417,2641539,6448
434,4159820,4407877,66
435,2909856,2422805,199
436,258948,2298981,2660
437,2424643,2740141,10589436
438,1553616,1197620,1760
439,1520254,2538801,3102
440,1818698,4664679,585
441,144060,136400,620797
442,2020889,646448,649977
443,4780388,968851,72450
444,2102677,4613883,364
445,2461879,1209604,550
446,160818,709848,226524
447,1401550,3620630,8050
448,783709,21662,168
449,150171,286472,1056072
450,4612494,549485,14790
451,3272526,721282,47
452,84726,1404837,1470
453,559652,1999091,536
454,2456479,3660550,47214
455,131200,4694239,12420
456,1403344,3208206,2650
457,3929625,2201243,5
458,3622805,4096612,39768797
459,3414541,2363399,57750
460,1930352,874565,177873
461,1563429,1318523,12416
462,1182194,4493806,726
463,4225886,3721298,214592
464,1408139,127950,3271146
465,3903025,319044,16884
466,2702338,4762679,628320
467,4099622,1531876,155
468,1178308,4790146,1610
469,3627790,2818164,55969
470,3726725,2049715,121716
471,1234471,1034122,51786
472,2986501,870428,600
473,245651,952688,51807
474,1128316,303543,117855
475,4679590,378218,9344
476,23990,844832,127972
477,1501709,1841906,168
478,2339541,4236146,37464
479,3813630,3285609,312
480,1648899,2023675,310
481,4451424,3430488,26894
482,150985,2023484,566
483,1819250,3710241,1768
484,3891364,2949813,24426
485,171548,4309706,11277
486,2435515,3994740,103656
487,898515,3699749,5512
488,2018936,2750152,75
489,2805661,2817056,11841
490,2888230,1669117,603
491,1136345,695111,198
492,3712498,690084,272100
493,2903089,1947006,1269
494,4389575,1673289,199056
495,2086336,2400247,3914505
496,4310862,3340476,2072
497,1986478,1151263,24759
498,19451,4470008,494808
499,3653227,4698566,31520
500,279288,1397718,396
501,339567,2040968,4788
502,4609702,4063523,19856
503,1397316,4643173,967402
504,1216896,4125905,2580
505,1920893,1876085,100283
506,3323708,4454175,37778
507,3419799,4007276,736512
508,4029708,4659457,17640
509,4230074,4486159,8990
510,3550092,3419090,27650
511,2109677,3530012,213
512,1185400,1106637,450
513,2301264,158731,5419032
514,3234845,4022241,125
515,1310817,3064489,43911
516,2058283,4609415,8232
517,3042121,1621224,48
518,1447046,4711948,1568
519,587095,3218496,1738
520,497106,73827,60388
521,3285875,4724464,4600
522,4373891,275639,3165169
523,1348793,4004571,79130
524,3198236,1722209,53
525,4860911,2189591,195
526,1349133,3080725,139
527,2047012,94321,422
528,1679775,573826,136475
529,3075945,2059985,14140
530,4432608,3336698,3484
531,3189954,1087324,3402
532,500739,1921667,11480
533,2845650,4108731,110439
534,2642732,1984005,7061
535,3303860,2984265,14
536,3866829,554726,3570
537,1542018,4606604,61938
538,1244565,288635,9744
539,552802,3149670,106817
540,4146884,1904268,856
541,4196302,4195925,1026
542,636521,156930,1400
543,834072,4644636,4071
544,2145284,2367831,31104
545,7868,1438811,63104
546,1151012,4595159,1489692
547,195823,2297290,1053
548,3498633,3250912,588
549,1176840,3708871,27552
550,3652024,4579537,66444
551,4585801,1410032,8320
552,965977,757234,28566
553,4276,3467832,37632
554,1591738,4130514,1105
555,3726255,1690853,107718
556,4750778,932921,12803
557,1544783,545075,132
558,3728686,2299782,16416
559,4134777,3010701,20944
560,4737649,317017,11550
561,1113383,572050,176
562,4791237,4669469,96930
563,1625926,1323604,3492
564,1057767,2106810,583604
565,4360797,2567319,33432
566,4501001,3747641,700
567,3979814,1383065,30090
568,3958498,3400119,960
569,4472613,4782942,44110
570,2826552,1851929,2925
571,3930113,1969392,914
572,4071650,1967153,254
573,848450,1311163,5835201
574,4421038,4236120,54931
575,2924011,378360,840
576,2216079,1058463,1457
577,2619921,2243004,1190
578,3401659,867777,1182
579,4850825,846953,11037
580,4627451,2979388,375120
581,4455263,1253026,135824
582,2366247,2506073,7922
583,2167353,1201942,1029
584,3727094,2061597,5520
585,4307670,4579336,1397
586,2720575,4595178,65328
587,3507605,3898713,132240
588,4300146,1860277,142
589,277097,664372,7424
590,3454316,355653,590853
591,4804889,1258662,2727640
592,4531017,4813904,267
593,3732480,3733752,540083
594,2914647,4152370,3206
595,1604519,4809986,197985
596,3907690,4007453,29250
597,2670017,1805044,2015552
598,255712,861508,2160
599,824841,1324381,423
600,1075138,1095215,120
601,4549427,1689039,16128
602,3348381,2086336,14637
603,2292299,1621542,9016
604,1317354,3054311,126
605,4702057,2922419,19227
606,4789062,875708,10868
607,3196320,4741885,375
608,243028,3158766,82631
609,3200179,1242327,67222
610,2376306,4249861,241962
611,1122024,3271567,3705
612,3852135,3266102,10056
613,4032122,1949143,211
614,3223920,3378708,528
615,2239712,4041512,333
616,1152111,3955212,3382
617,2438138,4405443,16915
618,1182125,2016362,4081
619,4825117,3226188,224250
620,4509053,4614759,34000
621,954783,4107041,14134
622,2694897,4221994,1424
623,1459605,355183,2450
624,3957243,41215,7168
625,4392240,4670924,7980
626,4662222,627979,347529
627,1772618,2517958,39765
628,3507605,3743087,18240
629,2988110,306066,1185
630,3460470,2914869,21076076
631,4724928,3081689,63335
632,2357765,123020,13632
633,4503243,2503081,469
634,1395639,905235,355752
635,2163840,1487443,609
636,1173867,1594195,164948
637,2990719,247965,249
638,4334594,4672164,2982
639,3175677,4294132,8757
640,3154897,3743287,72
641,2380033,823904,698560
642,2204209,2393,11139
643,3204489,2021656,48360
644,46347,4105798,495
645,1546131,1476256,20397
646,4832741,3628271,404
647,230959,3056188,1856
648,803117,514516,1206
649,2728019,2857848,151401
650,1101391,3302218,10827
651,2629332,1739999,303
652,3196935,1226698,52408
653,3545915,1760349,3598
654,467020,3890374,8288
655,3283449,833637,38610
656,2684857,3394755,1526
657,1310076,970851,684
658,324700,4458047,104673
659,3455337,759828,760592
660,1469417,82340,47460
661,2945451,2873928,1608
662,47367,2619824,336
663,1975212,3490790,179024
664,2500159,1007714,12540
665,3403476,1454600,1680
666,2048,3986213,900
667,4501695,1127019,19912
668,2205192,2295414,232112
669,2354150,3239759,137670
670,4383563,1174,5620
671,475933,4833712,10896
672,4782926,3536565,435246
673,4487677,4825406,18204
674,4327965,1331438,420
675,1550721,2116162,21728
676,2517457,1728898,4428
677,1838574,4098262,15789
678,4612771,3288555,5382
679,642996,3506813,7672
680,2557232,564584,387600
681,4223610,3482459,296
682,1769495,2395183,1599
683,782197,2194084,6464
684,1770200,2516884,149464
685,4031633,4588297,4816
686,1470412,4422560,250
687,1775497,3613127,5575
688,1824620,2651938,14616
689,1279839,1677752,5700
690,4132752,404449,12361
691,4448187,4748339,19920
692,491128,4657499,50904
693,2560508,3925409,174
694,104236,3605785,4356
695,4700248,663112,1724
696,2629845,4456828,5376
697,1570585,331274,152628
698,2852734,324237,105138
699,1041665,1229102,240370
700,3715323,3549444,9048
701,638553,2757877,11826
702,4836716,3354830,94221
703,4017320,922747,31494
704,1459605,3415082,2205
705,3303902,2181529,201531
706,3674345,3378280,24786744
707,1726836,4480898,482
708,3806390,1976038,21280
709,878442,4036279,20150
710,3595486,2643790,63
711,420410,2867013,63226
712,803951,2242566,360
713,3628696,3853365,217
714,2616335,2908614,92
715,1981986,4035202,539
716,3054430,1057861,45
717,4334594,3051327,930810
718,4812944,3535207,124100
719,2674631,1867538,8
720,2942785,1035309,523
721,1335561,1909814,8481
722,306263,2130956,82
723,201208,951008,162
724,2740508,1609914,128369
725,4153888,4755721,145600
726,2452515,1716535,2930
727,4751661,1206612,7378
728,3182725,2251944,4
729,4329998,3123735,1128
730,4246368,4607134,15264
731,4306984,31402,2100
732,987441,4503707,13888
733,1991608,2364292,15314
734,4300700,4266500,22
735,4498960,2930986,14230715
736,3102958,2181529,430683
737,1515040,797189,31320
738,885070,2221607,241554
739,3011316,3884937,456
740,1213594,4105851,429626
741,2305935,678890,14
742,1006164,1656495,19651
743,3011799,1673519,865824
744,1667129,4633379,41
745,617629,1105588,27030
746,926720,3307114,13080
747,565577,4336035,667
748,126887,752827,289
749,2840784,3061859,642
750,1192675,4205790,20950
751,1947457,179198,57
752,984342,3491166,54825
753,3049221,4031243,102
754,4859244,164230,2079
755,2461340,1258551,3617
756,3623046,3129979,3168
757,2682807,3198660,6331
758,4274919,4523540,30456
759,2222560,2473200,916943
760,730935,3142497,555
761,4304731,1992367,10106
762,3522361,4607737,282275
763,2350820,2084576,17
764,2109685,3573818,214
765,3097821,1993893,363264
766,3580033,4322839,1846980
767,4062909,416502,2490
768,207617,1986693,41818
769,3182466,3045735,8244
770,879908,1994245,918
771,4315961,2089841,540
772,4696456,2450580,53130
773,1922327,2208559,2912
774,1086861,4114260,16626
775,3101866,1973521,70
776,1389250,1202352,11796
777,3156079,1084494,5544
778,1768567,1239673,16605
779,3462030,3040850,302
780,2152175,3386770,14288
781,4551087,2858575,532
782,3249150,193283,2540
783,2681125,4157835,256386
784,1970075,4146791,125020
785,456376,3282684,98
786,2250754,3054105,347072
787,95788,127780,86267
788,2925348,2742304,652
789,1049150,1483273,5806
790,2486379,1429344,133729
791,2326042,575926,366508
792,3110933,3438089,7056
793,1846616,3866982,426
794,2871577,259324,4400
795,3725944,4668743,2130
796,3266143,1054633,1210440
797,3982958,4028169,4
798,2763196,4737099,1310960
799,1666632,2920024,60
800,718458,4615321,157
801,5089,328448,67860
802,2912719,2979388,182350
803,4532884,2397948,9724
804,2487570,1271488,20280
805,2210034,2685425,23324
806,1204176,3775387,188480
807,3993419,1458675,124
808,4767918,2302691,649306
809,3803252,3698779,2666
810,1292292,3865282,6360
811,4091650,1529244,129
812,446032,2154457,12096
813,4649516,2209103,1482
814,3695509,65638,68487
815,148935,4811932,2303
816,886108,905765,798
817,1190951,4690782,204
818,3626245,1962035,18535
819,1948085,1846065,6512
820,2482350,2278610,1701
821,2962254,2827901,12411
822,2332217,3185052,1710
823,3297316,2057510,11575
824,2416046,1105588,43725
825,426668,4631936,802
826,496868,105246,8
827,3034565,1821811,4158
828,4606514,907012,146
829,4274057,4538199,1038
830,3107357,1742303,154
831,4538043,3575682,59904
832,3656366,2979261,3066
833,4396298,2826632,110745
834,16594,1646682,1050
835,143220,3494535,1500
836,807742,2493146,288
837,771710,4806172,198
838,3204376,2359631,354634
839,3915080,2966620,102
840,3249409,4419768,2277
841,680507,2053301,585
842,2844764,2094403,260
843,2136096,1598748,932
844,2704117,3935784,9720
845,3053000,1212931,1206
846,4503555,1271150,13804
847,4505818,1411178,765067
848,3126141,3797741,70664
849,1653827,716887,228
850,1746167,1710765,6870
851,515975,2133291,630
852,3981319,1616341,85778
853,212575,78001,1120
854,4727351,2334645,151848
855,4306542,3737446,23
856,4238620,1854886,55980
857,1473900,3584952,723758
858,3526712,3873655,17739
859,776837,2031470,204730
860,1781994,221130,2860
861,4157407,2041684,230325
862,3387380,3382309,258
863,4771179,3918609,7157
864,3077171,2242021,10
865,3126141,1105233,234476
866,3094990,4601392,259250
867,992746,1789434,57972
868,974241,3572636,708
869,1327440,1466192,2484
870,471105,1986462,368
871,4367141,1803707,2448
872,3007021,298105,290664
873,3508770,3716870,33473
874,1605266,4345411,52947
875,4414997,2763539,94
876,3815718,965233,41984
877,4558718,4477346,938
878,478181,2638176,14141
879,4446498,910551,510
880,2481722,4732326,1288
881,1481434,1938916,34286
882,1632644,2921116,9321
883,4382423,3617572,411140
884,2075441,3184771,1054
885,4170583,4072550,694
886,1961152,4745890,4554
887,2356085,3778486,8
888,2588017,3596547,58934
889,2868212,685256,60214
890,370525,3929021,228501
891,3089257,4098923,1125
892,2457642,4387555,12264
893,2779887,1742444,42845
894,2598272,717002,2213141
895,499530,4758605,53978
896,2654094,778360,1062
897,1998202,3119624,618998
898,1813608,2662345,6511
899,483345,2826679,4888
900,3587474,1836534,5377
901,4843491,1000598,11560
902,1345474,1993893,365328
903,276809,1338578,2772
904,2049302,3273890,107168
905,4235225,1728318,5525
906,2422272,3054246,27456
907,4759196,110553,1146
908,229913,4413218,120
909,1891154,1504106,9108
910,1467477,2408564,336
911,1969873,2716022,1197
912,4020444,4211497,3240
913,101838,1005164,352
914,1220741,1756761,293364
915,4357167,1938570,188972
916,115942,187940,805
917,76713,3621559,74460
918,3647690,3642981,422
919,2633049,77035,12204
920,4589303,2337648,2128
921,1435516,2315226,722
922,999685,2648425,1647
923,264520,2210890,11832
924,558571,2475440,13920
925,1024777,910755,363122
926,858905,843636,40015
927,4047213,3572447,74844
928,1060441,463043,244
929,1049970,3078305,20460
930,2610005,82301,32670
931,2578445,2742606,11994752
932,4275718,2790099,8015891
933,35842,1840959,2369
934,4617371,1145730,1288
935,2292098,3037900,13066
936,4439696,4060999,1270
937,3226838,4052990,3592176
938,2607301,4279936,8920
939,995486,94427,644
940,3190499,3577652,56
941,1131513,4222791,2340
942,1487867,290241,184
943,4795640,3439420,425
944,1677935,777501,4956
945,3003773,3965125,386
946,3638601,4159902,77928
947,4091571,2057832,9282
948,3454963,4167373,83592
949,3044039,3823404,9296
950,4225721,2949748,61655
951,3903454,4204989,3177
952,3101181,1600897,222936
953,4292767,4200228,234
954,1828452,282738,440505
955,3230665,4413559,27720
956,932451,1692815,6822
957,4279761,3434826,5610
958,2640762,750770,225
959,4698322,1480185,72558
960,2482350,4523961,1188
961,1726152,4086068,15125
962,3857721,2363392,425472
963,301221,3137409,25248
964,1735883,1347462,138700
965,635924,3980791,207
966,2496573,4143220,456
967,4207066,4552885,238086
968,20295,1324992,96084723
969,282738,238014,798525
970,4248813,1322227,219
971,2899375,1634098,3414
972,4440444,4411289,184
973,153430,4176442,41
974,2525847,2597519,1204
975,1153580,68695,259158
976,4816163,1552199,14
977,1204056,4134951,689
978,1507776,4625867,1634
979,3862160,927107,68
980,631029,3085310,798
981,3292145,1696837,665415
982,1986922,785893,358980
983,727535,3439201,136850
984,2509282,4179348,7
985,2003319,1715065,612
986,3832954,46710,840
987,2060035,1346024,486
988,908170,351962,54
989,2796817,1603275,849431
990,163643,2882296,117096
991,1824620,3885455,504
992,1439892,1324992,5826309
993,2257028,3557291,10816
994,1068926,1958906,10560
995,2486987,3279494,36570
996,1322268,4390465,58397625
997,2420317,4746757,92
998,3234711,3773437,642936
999,3493966,4527536,7350
1000,17245,1014944,602355
1001,3619046,1255074,37026
1002,353855,33773,9414
1003,3372039,2242816,542080
1004,1243355,3135593,192705
1005,3761317,76667,9864
1006,540178,2065999,418
1007,1761173,2900702,376
1008,806785,4345803,4755
1009,520136,851237,2288
1010,92356,4400515,143418
1011,1828246,473043,10472
1012,2173151,1024777,8742
1013,4245940,3905926,22536
1014,3254161,3344278,10500
1015,1919222,4847918,1103460
1016,2876679,2649220,275
1017,2685708,350314,688
1018,3037471,3351610,228
1019,1489738,2823434,693
1020,1035595,3177976,32913
1021,2767461,4374620,3975
1022,4299096,1242327,444019
1023,1175602,3650803,292842
1024,3997449,541721,19401
1025,4220227,888836,246022
1026,1888430,4164656,126575
1027,3630094,4093593,13634
1028,3260897,2059398,174
1029,3458359,551685,28288
1030,998253,1334906,5670
1031,4564989,2138288,61530
1032,4413315,3152924,106290
1033,3044039,856916,1007454
1034,1865377,4636019,5796
1035,606761,2658818,5034
1036,2508178,197603,4370
1037,1590882,3799335,6848
1038,4479178,3337311,7954
1039,3042121,4022981,128
1040,1222767,1337901,864
1041,189137,3707350,1489714
1042,4564947,3539593,150920
1043,4661198,1565469,107008
1044,2921853,1665942,202
1045,4348766,4716721,80352
1046,754491,3606387,134
1047,1961849,3649320,2054
1048,1691903,651795,1162
1049,4310719,4767700,135548
1050,635907,2502797,96140
1051,760911,3860178,17546
1052,3862160,1389180,442
1053,132853,4125302,1516325
1054,811239,1187817,392
1055,1055988,547593,261222
1056,4595673,1373036,6106
1057,1429183,4156017,99
1058,2675276,4522292,2280
1059,1152111,4454737,177644
1060,3885342,2744082,51
1061,4461671,614029,94500
1062,17660,260714,4828
1063,4243983,1346688,17080
1064,3422310,3605635,18510
1065,4257630,784418,589
1066,2604474,772396,11658
1067,66062,2390617,67590
1068,2299928,2733212,56
1069,1250650,288350,106
1070,481068,4396743,455
1071,2468519,4211728,6230
1072,2006237,3426063,122
1073,1869476,4651416,23661500
1074,426011,1305670,10556
1075,886710,781813,250
1076,4311290,2932236,85824
1077,4093168,601456,912
1078,849848,598842,1725
1079,4163280,4835007,732
1080,665522,716943,176
1081,4587860,3812837,80852
1082,4074289,4168492,288
1083,3529930,2507173,60
1084,529453,3294213,96
1085,3110854,528835,10640
1086,1855038,3533203,6225
1087,1255620,3579983,17755
1088,789821,873406,201
1089,3832051,1403567,9752
1090,3259436,1583704,26676
1091,3300111,3166123,18832
1092,4721805,389312,4
1093,4161118,518238,60445
1094,378799,4441914,10
1095,1851286,615740,18530
1096,3953029,1232081,114932
1097,4095099,4020896,3036
1098,3634165,3042674,48858
1099,2808502,2835494,2392020
1100,4628181,1968517,4526
1101,434593,3870424,3150
1102,2833758,237574,1034
1103,4136514,2567418,1127
1104,4317947,1488971,102400
1105,4002172,3642884,6090
1106,376424,847450,4323
1107,1551687,3161152,4558
1108,1452253,2979388,26050
1109,4342778,94321,422
1110,3265042,1663756,16260
1111,980606,790371,245
1112,3605497,1194830,470
1113,3750870,4272176,25280
1114,2821319,115485,38082
1115,4415048,4359993,69
1116,4472299,3026070,115354
1117,1289611,4287035,8601
